cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_m_money_long_all,change_in_m_money_short_all,change_in_m_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_prod_merc_long,change_in_prod_merc_short,change_in_swap_long_all,change_in_swap_short_all,change_in_swap_spread_all,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short,conc_gross_le_4_tdr_short_1,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short,conc_gross_le_8_tdr_short_1,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_all,conc_net_le_4_tdr_short_old,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_all,conc_net_le_8_tdr_short_old,conc_net_le_8_tdr_short_other,contract_market_name,contract_units,futonly_or_combined,id,m_money_positions_long_all,m_money_positions_long_old,m_money_positions_long_other,m_money_positions_short_all,m_money_positions_short_old,m_money_positions_short_other,m_money_positions_spread,m_money_positions_spread_1,m_money_positions_spread_2,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_long_old,nonrept_positions_long_other,nonrept_positions_short_all,nonrept_positions_short_old,nonrept_positions_short_other,open_interest_all,open_interest_old,open_interest_other,other_rept_positions_long,other_rept_positions_long_1,other_rept_positions_long_2,other_rept_positions_short,other_rept_positions_short_1,other_rept_positions_short_2,other_rept_positions_spread,other_rept_positions_spread_1,other_rept_positions_spread_2,pct_of_oi_m_money_long_all,pct_of_oi_m_money_long_old,pct_of_oi_m_money_long_other,pct_of_oi_m_money_short_all,pct_of_oi_m_money_short_old,pct_of_oi_m_money_short_other,pct_of_oi_m_money_spread,pct_of_oi_m_money_spread_1,pct_of_oi_m_money_spread_2,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_all,pct_of_oi_nonrept_short_old,pct_of_oi_nonrept_short_other,pct_of_oi_other_rept_long,pct_of_oi_other_rept_long_1,pct_of_oi_other_rept_long_2,pct_of_oi_other_rept_short,pct_of_oi_other_rept_short_1,pct_of_oi_other_rept_short_2,pct_of_oi_other_rept_spread,pct_of_oi_other_rept_spread_1,pct_of_oi_other_rept_spread_2,pct_of_oi_prod_merc_long,pct_of_oi_prod_merc_long_1,pct_of_oi_prod_merc_long_2,pct_of_oi_prod_merc_short,pct_of_oi_prod_merc_short_1,pct_of_oi_prod_merc_short_2,pct_of_oi_swap_long_all,pct_of_oi_swap_long_old,pct_of_oi_swap_long_other,pct_of_oi_swap_short_all,pct_of_oi_swap_short_old,pct_of_oi_swap_short_other,pct_of_oi_swap_spread_all,pct_of_oi_swap_spread_old,pct_of_oi_swap_spread_other,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short,pct_of_oi_tot_rept_short_1,pct_of_oi_tot_rept_short_2,pct_of_open_interest_all,pct_of_open_interest_old,pct_of_open_interest_other,prod_merc_positions_long,prod_merc_positions_long_1,prod_merc_positions_long_2,prod_merc_positions_short,prod_merc_positions_short_1,prod_merc_positions_short_2,report_date_as_yyyy_mm_dd,swap__positions_short_all,swap__positions_short_old,swap__positions_short_other,swap__positions_spread_all,swap__positions_spread_old,swap__positions_spread_other,swap_positions_long_all,swap_positions_long_old,swap_positions_long_other,tot_rept_positions_long_all,tot_rept_positions_long_old,tot_rept_positions_long_other,tot_rept_positions_short,tot_rept_positions_short_1,tot_rept_positions_short_2,traders_m_money_long_all,traders_m_money_long_old,traders_m_money_long_other,traders_m_money_short_all,traders_m_money_short_old,traders_m_money_short_other,traders_m_money_spread_all,traders_m_money_spread_old,traders_m_money_spread_other,traders_other_rept_long_all,traders_other_rept_long_old,traders_other_rept_long_other,traders_other_rept_short,traders_other_rept_short_1,traders_other_rept_short_2,traders_other_rept_spread,traders_other_rept_spread_1,traders_other_rept_spread_2,traders_prod_merc_long_all,traders_prod_merc_long_old,traders_prod_merc_long_other,traders_prod_merc_short_all,traders_prod_merc_short_old,traders_prod_merc_short_other,traders_swap_long_all,traders_swap_long_old,traders_swap_long_other,traders_swap_short_all,traders_swap_short_old,traders_swap_short_other,traders_swap_spread_all,traders_swap_spread_old,traders_swap_spread_other,traders_tot_all,traders_tot_old,traders_tot_other,traders_tot_rept_long_all,traders_tot_rept_long_old,traders_tot_rept_long_other,traders_tot_rept_short_all,traders_tot_rept_short_old,traders_tot_rept_short_other,yyyy_report_week_ww
067,067651,NYME,NYC,N10,-821,4721,367,9880,-2372,51490,73,-611,11353,30865,35538,436,3157,-663,41610,53862,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,14.2,14.2,0.0,14.8,14.8,0.0,26.0,26.0,0.0,25.7,25.7,0.0,12.0,12.0,0.0,10.5,10.5,0.0,17.4,17.4,0.0,17.4,17.4,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,170103067651F,356275,356275,0,76578,76578,0,445192,445192,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",110062,110062,0,83372,83372,0,2089324,2089324,0,251842,251842,0,91465,91465,0,285775,285775,0,17.1,17.1,0.0,3.7,3.7,0.0,21.3,21.3,0.0,5.3,5.3,0.0,4.0,4.0,0.0,12.1,12.1,0.0,4.4,4.4,0.0,13.7,13.7,0.0,14.9,14.9,0.0,28.4,28.4,0.0,7.0,7.0,0.0,15.8,15.8,0.0,8.8,8.8,0.0,94.7,94.7,0.0,96.0,96.0,0.0,100.0,100.0,100.0,312021,312021,0,593460,593460,0,2017-01-03T00:00:00.000,330542,330542,0,182940,182940,0,145217,145217,0,1979262,1979262,0,2005952,2005952,0,75,75,0,45,45,0,80,80,0,84,84,0,53,53,0,111,111,0,63,63,0,81,81,0,23,23,0,22,22,0,35,35,0,425,425,0,365,365,0,340,340,0,2017 Report Week 01
085,085692,CMX,NYC,N25,-2648,-1053,536,-359,-199,-3859,-614,-930,-966,-80,-1451,-196,-264,468,-3500,-3660,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,19.7,19.7,0.0,27.7,27.7,0.0,31.1,31.1,0.0,43.1,43.1,0.0,19.7,19.7,0.0,27.0,27.0,0.0,29.7,29.7,0.0,39.4,39.4,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,170103085692F,94060,94060,0,23503,23503,0,8618,8618,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,15936,15936,0,13477,13477,0,223874,223874,0,15183,15183,0,41256,41256,0,19494,19494,0,42.0,42.0,0.0,10.5,10.5,0.0,3.8,3.8,0.0,7.1,7.1,0.0,6.0,6.0,0.0,6.8,6.8,0.0,18.4,18.4,0.0,8.7,8.7,0.0,13.3,13.3,0.0,47.4,47.4,0.0,17.6,17.6,0.0,4.5,4.5,0.0,0.6,0.6,0.0,92.9,92.9,0.0,94.0,94.0,0.0,100.0,100.0,100.0,29871,29871,0,106016,106016,0,2017-01-03T00:00:00.000,10134,10134,0,1376,1376,0,39336,39336,0,207938,207938,0,210397,210397,0,85,85,0,30,30,0,30,30,0,43,43,0,54,54,0,31,31,0,32,32,0,51,51,0,18,18,0,7,7,0,11,11,0,304,304,0,213,213,0,189,189,0,2017 Report Week 01
088,088691,CMX,NYC,N20,-2809,4000,13446,-1777,-215,23160,5126,110,1739,1221,3,4199,2062,2015,24937,23375,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,19.8,19.8,0.0,27.7,27.7,0.0,28.8,28.8,0.0,42.9,42.9,0.0,15.7,15.7,0.0,26.7,26.7,0.0,22.3,22.3,0.0,37.5,37.5,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,170103088691F,127786,127786,0,91229,91229,0,45322,45322,0,GOLD - COMMODITY EXCHANGE INC.,47387,47387,0,26325,26325,0,424673,424673,0,81069,81069,0,21076,21076,0,25699,25699,0,30.1,30.1,0.0,21.5,21.5,0.0,10.7,10.7,0.0,11.2,11.2,0.0,6.2,6.2,0.0,19.1,19.1,0.0,5.0,5.0,0.0,6.1,6.1,0.0,5.8,5.8,0.0,23.1,23.1,0.0,10.7,10.7,0.0,21.1,21.1,0.0,6.5,6.5,0.0,88.8,88.8,0.0,93.8,93.8,0.0,100.0,100.0,100.0,24768,24768,0,97997,97997,0,2017-01-03T00:00:00.000,89620,89620,0,27405,27405,0,45237,45237,0,377286,377286,0,398348,398348,0,66,66,0,48,48,0,39,39,0,91,91,0,40,40,0,44,44,0,24,24,0,24,24,0,16,16,0,15,15,0,17,17,0,318,318,0,244,244,0,185,185,0,2017 Report Week 01
085,085692,CMX,NYC,N25,5438,2126,256,494,557,12763,2173,2266,3677,-2595,2686,3798,1673,-478,12269,12206,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,18.4,18.4,0.0,26.9,26.9,0.0,29.0,29.0,0.0,40.7,40.7,0.0,18.3,18.3,0.0,26.5,26.5,0.0,28.3,28.3,0.0,39.4,39.4,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,170110085692F,99498,99498,0,25629,25629,0,8874,8874,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,16430,16430,0,14034,14034,0,236637,236637,0,17356,17356,0,43522,43522,0,23171,23171,0,42.0,42.0,0.0,10.8,10.8,0.0,3.8,3.8,0.0,6.9,6.9,0.0,5.9,5.9,0.0,7.3,7.3,0.0,18.4,18.4,0.0,9.8,9.8,0.0,11.5,11.5,0.0,45.9,45.9,0.0,18.2,18.2,0.0,5.0,5.0,0.0,0.4,0.4,0.0,93.1,93.1,0.0,94.1,94.1,0.0,100.0,100.0,100.0,27276,27276,0,108702,108702,0,2017-01-10T00:00:00.000,11807,11807,0,898,898,0,43134,43134,0,220207,220207,0,222603,222603,0,91,91,0,26,26,0,28,28,0,39,39,0,70,70,0,37,37,0,30,30,0,51,51,0,18,18,0,7,7,0,7,7,0,319,319,0,215,215,0,201,201,0,2017 Report Week 02
088,088691,CMX,NYC,N20,7777,-11345,17981,-3310,1418,19328,-2632,3558,159,-180,-1336,-1960,7400,1493,22638,17910,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,21.7,21.7,0.0,29.7,29.7,0.0,31.4,31.4,0.0,45.2,45.2,0.0,14.3,14.3,0.0,25.4,25.4,0.0,21.2,21.2,0.0,37.1,37.1,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,170110088691F,135563,135563,0,79884,79884,0,63303,63303,0,GOLD - COMMODITY EXCHANGE INC.,44077,44077,0,27743,27743,0,444001,444001,0,78437,78437,0,24634,24634,0,25858,25858,0,30.5,30.5,0.0,18.0,18.0,0.0,14.3,14.3,0.0,9.9,9.9,0.0,6.2,6.2,0.0,17.7,17.7,0.0,5.5,5.5,0.0,5.8,5.8,0.0,5.5,5.5,0.0,21.8,21.8,0.0,9.7,9.7,0.0,21.9,21.9,0.0,6.5,6.5,0.0,90.1,90.1,0.0,93.8,93.8,0.0,100.0,100.0,100.0,24588,24588,0,96661,96661,0,2017-01-10T00:00:00.000,97020,97020,0,28898,28898,0,43277,43277,0,399924,399924,0,416258,416258,0,73,73,0,50,50,0,36,36,0,89,89,0,41,41,0,44,44,0,25,25,0,24,24,0,14,14,0,17,17,0,18,18,0,329,329,0,246,246,0,192,192,0,2017 Report Week 02
067,067651,NYME,NYC,N10,-2549,-1212,-11699,3108,-2040,25332,-1307,3868,6463,26018,33219,5255,-3310,43,22224,27372,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,14.0,14.0,0.0,14.6,14.6,0.0,25.5,25.5,0.0,25.6,25.6,0.0,11.8,11.8,0.0,10.6,10.6,0.0,17.0,17.0,0.0,17.4,17.4,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,170110067651F,353726,353726,0,75366,75366,0,433493,433493,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",113170,113170,0,81332,81332,0,2114656,2114656,0,250535,250535,0,95333,95333,0,292238,292238,0,16.7,16.7,0.0,3.6,3.6,0.0,20.5,20.5,0.0,5.4,5.4,0.0,3.8,3.8,0.0,11.8,11.8,0.0,4.5,4.5,0.0,13.8,13.8,0.0,16.0,16.0,0.0,29.6,29.6,0.0,7.1,7.1,0.0,15.5,15.5,0.0,8.7,8.7,0.0,94.6,94.6,0.0,96.2,96.2,0.0,100.0,100.0,100.0,338039,338039,0,626679,626679,0,2017-01-10T00:00:00.000,327232,327232,0,182983,182983,0,150472,150472,0,2001486,2001486,0,2033324,2033324,0,74,74,0,47,47,0,82,82,0,95,95,0,54,54,0,113,113,0,67,67,0,82,82,0,25,25,0,24,24,0,39,39,0,438,438,0,382,382,0,350,350,0,2017 Report Week 02
085,085692,CMX,NYC,N25,875,-285,2325,1777,1400,15145,1215,3579,4393,3069,3273,1647,616,-156,13368,13745,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,18.2,18.2,0.0,23.5,23.5,0.0,29.3,29.3,0.0,39.7,39.7,0.0,18.2,18.2,0.0,23.1,23.1,0.0,28.5,28.5,0.0,37.9,37.9,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,170117085692F,100373,100373,0,25344,25344,0,11199,11199,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,18207,18207,0,15434,15434,0,251782,251782,0,18571,18571,0,47101,47101,0,27564,27564,0,39.9,39.9,0.0,10.1,10.1,0.0,4.4,4.4,0.0,7.2,7.2,0.0,6.1,6.1,0.0,7.4,7.4,0.0,18.7,18.7,0.0,10.9,10.9,0.0,12.1,12.1,0.0,44.5,44.5,0.0,17.8,17.8,0.0,4.9,4.9,0.0,0.3,0.3,0.0,92.8,92.8,0.0,93.9,93.9,0.0,100.0,100.0,100.0,30345,30345,0,111975,111975,0,2017-01-17T00:00:00.000,12423,12423,0,742,742,0,44781,44781,0,233575,233575,0,236348,236348,0,89,89,0,25,25,0,29,29,0,35,35,0,76,76,0,39,39,0,28,28,0,51,51,0,17,17,0,7,7,0,7,7,0,316,316,0,214,214,0,199,199,0,2017 Report Week 03
088,088691,CMX,NYC,N20,6003,3047,14877,-82,182,23936,-1859,3538,361,-744,2782,12184,5953,-6804,24018,23754,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,23.8,23.8,0.0,29.6,29.6,0.0,34.3,34.3,0.0,44.9,44.9,0.0,17.2,17.2,0.0,24.5,24.5,0.0,23.8,23.8,0.0,36.3,36.3,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,170117088691F,141566,141566,0,82931,82931,0,78180,78180,0,GOLD - COMMODITY EXCHANGE INC.,43995,43995,0,27925,27925,0,467937,467937,0,76578,76578,0,28172,28172,0,26219,26219,0,30.3,30.3,0.0,17.7,17.7,0.0,16.7,16.7,0.0,9.4,9.4,0.0,6.0,6.0,0.0,16.4,16.4,0.0,6.0,6.0,0.0,5.6,5.6,0.0,5.1,5.1,0.0,21.3,21.3,0.0,11.9,11.9,0.0,22.0,22.0,0.0,4.7,4.7,0.0,90.6,90.6,0.0,94.0,94.0,0.0,100.0,100.0,100.0,23844,23844,0,99443,99443,0,2017-01-17T00:00:00.000,102973,102973,0,22094,22094,0,55461,55461,0,423942,423942,0,440012,440012,0,72,72,0,51,51,0,43,43,0,85,85,0,45,45,0,42,42,0,26,26,0,26,26,0,14,14,0,17,17,0,21,21,0,333,333,0,249,249,0,202,202,0,2017 Report Week 03
067,067651,NYME,NYC,N10,49295,-15760,3541,-4762,9383,64466,-22019,11920,32368,-1692,8680,1672,8271,6063,69228,55083,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,13.9,13.9,0.0,14.5,14.5,0.0,25.2,25.2,0.0,25.3,25.3,0.0,11.4,11.4,0.0,10.3,10.3,0.0,17.0,17.0,0.0,16.9,16.9,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,170117067651F,403021,403021,0,59606,59606,0,437034,437034,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",108408,108408,0,90715,90715,0,2179122,2179122,0,228516,228516,0,107253,107253,0,324606,324606,0,18.5,18.5,0.0,2.7,2.7,0.0,20.1,20.1,0.0,5.0,5.0,0.0,4.2,4.2,0.0,10.5,10.5,0.0,4.9,4.9,0.0,14.9,14.9,0.0,15.4,15.4,0.0,29.2,29.2,0.0,7.0,7.0,0.0,15.4,15.4,0.0,8.7,8.7,0.0,95.0,95.0,0.0,95.8,95.8,0.0,100.0,100.0,100.0,336347,336347,0,635359,635359,0,2017-01-17T00:00:00.000,335503,335503,0,189046,189046,0,152144,152144,0,2070714,2070714,0,2088407,2088407,0,73,73,0,44,44,0,79,79,0,81,81,0,61,61,0,114,114,0,61,61,0,79,79,0,23,23,0,23,23,0,39,39,0,419,419,0,367,367,0,340,340,0,2017 Report Week 03
085,085692,CMX,NYC,N25,13995,-2317,1891,-961,398,19110,-4924,7577,2753,3871,7879,2629,1073,-144,20071,18712,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,18.0,18.0,0.0,23.9,23.9,0.0,29.2,29.2,0.0,39.9,39.9,0.0,17.8,17.8,0.0,23.0,23.0,0.0,27.6,27.6,0.0,37.6,37.6,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,170124085692F,114368,114368,0,23027,23027,0,13090,13090,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,17246,17246,0,15832,15832,0,270892,270892,0,13647,13647,0,54678,54678,0,30317,30317,0,42.2,42.2,0.0,8.5,8.5,0.0,4.8,4.8,0.0,6.4,6.4,0.0,5.8,5.8,0.0,5.0,5.0,0.0,20.2,20.2,0.0,11.2,11.2,0.0,12.6,12.6,0.0,44.2,44.2,0.0,17.5,17.5,0.0,5.0,5.0,0.0,0.2,0.2,0.0,93.6,93.6,0.0,94.2,94.2,0.0,100.0,100.0,100.0,34216,34216,0,119854,119854,0,2017-01-24T00:00:00.000,13496,13496,0,598,598,0,47410,47410,0,253646,253646,0,255060,255060,0,90,90,0,20,20,0,31,31,0,43,43,0,81,81,0,36,36,0,26,26,0,50,50,0,17,17,0,7,7,0,6,6,0,326,326,0,214,214,0,205,205,0,2017 Report Week 04
