cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_m_money_long_all,change_in_m_money_short_all,change_in_m_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_prod_merc_long,change_in_prod_merc_short,change_in_swap_long_all,change_in_swap_short_all,change_in_swap_spread_all,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short,conc_gross_le_4_tdr_short_1,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short,conc_gross_le_8_tdr_short_1,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_all,conc_net_le_4_tdr_short_old,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_all,conc_net_le_8_tdr_short_old,conc_net_le_8_tdr_short_other,contract_market_name,contract_units,futonly_or_combined,id,m_money_positions_long_all,m_money_positions_long_old,m_money_positions_long_other,m_money_positions_short_all,m_money_positions_short_old,m_money_positions_short_other,m_money_positions_spread,m_money_positions_spread_1,m_money_positions_spread_2,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_long_old,nonrept_positions_long_other,nonrept_positions_short_all,nonrept_positions_short_old,nonrept_positions_short_other,open_interest_all,open_interest_old,open_interest_other,other_rept_positions_long,other_rept_positions_long_1,other_rept_positions_long_2,other_rept_positions_short,other_rept_positions_short_1,other_rept_positions_short_2,other_rept_positions_spread,other_rept_positions_spread_1,other_rept_positions_spread_2,pct_of_oi_m_money_long_all,pct_of_oi_m_money_long_old,pct_of_oi_m_money_long_other,pct_of_oi_m_money_short_all,pct_of_oi_m_money_short_old,pct_of_oi_m_money_short_other,pct_of_oi_m_money_spread,pct_of_oi_m_money_spread_1,pct_of_oi_m_money_spread_2,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_all,pct_of_oi_nonrept_short_old,pct_of_oi_nonrept_short_other,pct_of_oi_other_rept_long,pct_of_oi_other_rept_long_1,pct_of_oi_other_rept_long_2,pct_of_oi_other_rept_short,pct_of_oi_other_rept_short_1,pct_of_oi_other_rept_short_2,pct_of_oi_other_rept_spread,pct_of_oi_other_rept_spread_1,pct_of_oi_other_rept_spread_2,pct_of_oi_prod_merc_long,pct_of_oi_prod_merc_long_1,pct_of_oi_prod_merc_long_2,pct_of_oi_prod_merc_short,pct_of_oi_prod_merc_short_1,pct_of_oi_prod_merc_short_2,pct_of_oi_swap_long_all,pct_of_oi_swap_long_old,pct_of_oi_swap_long_other,pct_of_oi_swap_short_all,pct_of_oi_swap_short_old,pct_of_oi_swap_short_other,pct_of_oi_swap_spread_all,pct_of_oi_swap_spread_old,pct_of_oi_swap_spread_other,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short,pct_of_oi_tot_rept_short_1,pct_of_oi_tot_rept_short_2,pct_of_open_interest_all,pct_of_open_interest_old,pct_of_open_interest_other,prod_merc_positions_long,prod_merc_positions_long_1,prod_merc_positions_long_2,prod_merc_positions_short,prod_merc_positions_short_1,prod_merc_positions_short_2,report_date_as_yyyy_mm_dd,swap__positions_short_all,swap__positions_short_old,swap__positions_short_other,swap__positions_spread_all,swap__positions_spread_old,swap__positions_spread_other,swap_positions_long_all,swap_positions_long_old,swap_positions_long_other,tot_rept_positions_long_all,tot_rept_positions_long_old,tot_rept_positions_long_other,tot_rept_positions_short,tot_rept_positions_short_1,tot_rept_positions_short_2,traders_m_money_long_all,traders_m_money_long_old,traders_m_money_long_other,traders_m_money_short_all,traders_m_money_short_old,traders_m_money_short_other,traders_m_money_spread_all,traders_m_money_spread_old,traders_m_money_spread_other,traders_other_rept_long_all,traders_other_rept_long_old,traders_other_rept_long_other,traders_other_rept_short,traders_other_rept_short_1,traders_other_rept_short_2,traders_other_rept_spread,traders_other_rept_spread_1,traders_other_rept_spread_2,traders_prod_merc_long_all,traders_prod_merc_long_old,traders_prod_merc_long_other,traders_prod_merc_short_all,traders_prod_merc_short_old,traders_prod_merc_short_other,traders_swap_long_all,traders_swap_long_old,traders_swap_long_other,traders_swap_short_all,traders_swap_short_old,traders_swap_short_other,traders_swap_spread_all,traders_swap_spread_old,traders_swap_spread_other,traders_tot_all,traders_tot_old,traders_tot_other,traders_tot_rept_long_all,traders_tot_rept_long_old,traders_tot_rept_long_other,traders_tot_rept_short_all,traders_tot_rept_short_old,traders_tot_rept_short_other,yyyy_report_week_ww
088,088691,CMX,NYC,N20,3661,-7613,7485,-2590,928,11808,-358,3458,3115,-96,782,-3049,13,3640,14398,10880,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,20.6,20.6,0.0,27.8,27.8,0.0,31.5,31.5,0.0,40.0,40.0,0.0,16.3,16.3,0.0,22.9,22.9,0.0,22.6,22.6,0.0,29.5,29.5,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,160105088691F,79732,79732,0,95659,95659,0,38204,38204,0,GOLD - COMMODITY EXCHANGE INC.,33921,33921,0,41206,41206,0,413688,413688,0,73800,73800,0,31313,31313,0,40357,40357,0,19.3,19.3,0.0,23.1,23.1,0.0,9.2,9.2,0.0,8.2,8.2,0.0,10.0,10.0,0.0,17.8,17.8,0.0,7.6,7.6,0.0,9.8,9.8,0.0,5.5,5.5,0.0,16.4,16.4,0.0,15.2,15.2,0.0,9.0,9.0,0.0,15.0,15.0,0.0,91.8,91.8,0.0,90.0,90.0,0.0,100.0,100.0,100.0,22948,22948,0,67800,67800,0,2016-01-05T00:00:00.000,37206,37206,0,61943,61943,0,62783,62783,0,379767,379767,0,372482,372482,0,52,52,0,50,50,0,38,38,0,75,75,0,69,69,0,53,53,0,16,16,0,29,29,0,19,19,0,12,12,0,25,25,0,320,320,0,218,218,0,231,231,0,2016 Report Week 01
085,085692,CMX,NYC,N25,-1447,1348,842,-261,-488,4130,4550,3462,0,574,-1156,-301,-51,173,4391,4618,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,20.6,20.6,0.0,15.2,15.2,0.0,35.9,35.9,0.0,27.3,27.3,0.0,19.0,19.0,0.0,14.3,14.3,0.0,33.0,33.0,0.0,24.6,24.6,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,160105085692F,26775,26775,0,55534,55534,0,8046,8046,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,12567,12567,0,17904,17904,0,171819,171819,0,36283,36283,0,39337,39337,0,8818,8818,0,15.6,15.6,0.0,32.3,32.3,0.0,4.7,4.7,0.0,7.3,7.3,0.0,10.4,10.4,0.0,21.1,21.1,0.0,22.9,22.9,0.0,5.1,5.1,0.0,19.5,19.5,0.0,22.4,22.4,0.0,25.7,25.7,0.0,1.2,1.2,0.0,1.0,1.0,0.0,92.7,92.7,0.0,89.6,89.6,0.0,100.0,100.0,100.0,33477,33477,0,38418,38418,0,2016-01-05T00:00:00.000,2087,2087,0,1675,1675,0,44178,44178,0,159252,159252,0,153915,153915,0,26,26,0,68,68,0,21,21,0,44,44,0,61,61,0,24,24,0,33,33,0,36,36,0,17,17,0,4,4,0,8,8,0,271,271,0,145,145,0,203,203,0,2016 Report Week 01
067,067651,NYME,NYC,N10,-6921,17394,22318,5895,-2228,54297,18706,6565,9122,7801,6582,-5147,-7979,2523,48402,56525,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,17.4,17.4,0.0,11.0,11.0,0.0,27.3,27.3,0.0,20.0,20.0,0.0,17.2,17.2,0.0,7.7,7.7,0.0,22.8,22.8,0.0,13.3,13.3,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,160105067651F,231998,231998,0,182562,182562,0,348073,348073,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",86604,86604,0,82216,82216,0,1703201,1703201,0,228419,228419,0,93678,93678,0,232038,232038,0,13.6,13.6,0.0,10.7,10.7,0.0,20.4,20.4,0.0,5.1,5.1,0.0,4.8,4.8,0.0,13.4,13.4,0.0,5.5,5.5,0.0,13.6,13.6,0.0,9.5,9.5,0.0,22.0,22.0,0.0,13.8,13.8,0.0,12.3,12.3,0.0,10.5,10.5,0.0,94.9,94.9,0.0,95.2,95.2,0.0,100.0,100.0,100.0,162630,162630,0,375379,375379,0,2016-01-05T00:00:00.000,210155,210155,0,179100,179100,0,234339,234339,0,1616597,1616597,0,1620985,1620985,0,49,49,0,62,62,0,72,72,0,74,74,0,56,56,0,80,80,0,54,54,0,67,67,0,22,22,0,19,19,0,30,30,0,370,370,0,295,295,0,306,306,0,2016 Report Week 01
088,088691,CMX,NYC,N20,3176,-12843,-2977,3931,-2221,-16123,1947,-192,-16747,361,7324,-10083,7264,4269,-20054,-13902,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,21.2,21.2,0.0,29.3,29.3,0.0,31.4,31.4,0.0,41.0,41.0,0.0,15.9,15.9,0.0,23.7,23.7,0.0,22.2,22.2,0.0,29.6,29.6,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,160112088691F,82908,82908,0,82816,82816,0,35227,35227,0,GOLD - COMMODITY EXCHANGE INC.,37852,37852,0,38985,38985,0,397565,397565,0,75747,75747,0,31121,31121,0,23610,23610,0,20.9,20.9,0.0,20.8,20.8,0.0,8.9,8.9,0.0,9.5,9.5,0.0,9.8,9.8,0.0,19.1,19.1,0.0,7.8,7.8,0.0,5.9,5.9,0.0,5.9,5.9,0.0,18.9,18.9,0.0,13.3,13.3,0.0,11.2,11.2,0.0,16.7,16.7,0.0,90.5,90.5,0.0,90.2,90.2,0.0,100.0,100.0,100.0,23309,23309,0,75124,75124,0,2016-01-12T00:00:00.000,44470,44470,0,66212,66212,0,52700,52700,0,359713,359713,0,358580,358580,0,53,53,0,48,48,0,35,35,0,77,77,0,71,71,0,55,55,0,18,18,0,26,26,0,15,15,0,18,18,0,28,28,0,325,325,0,223,223,0,230,230,0,2016 Report Week 02
085,085692,CMX,NYC,N25,2280,5245,1597,1703,2513,21701,3324,10571,3675,6302,-2165,2422,-133,398,19998,19188,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,19.5,19.5,0.0,13.8,13.8,0.0,33.9,33.9,0.0,23.9,23.9,0.0,17.7,17.7,0.0,13.2,13.2,0.0,30.5,30.5,0.0,22.0,22.0,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,160112085692F,29055,29055,0,60779,60779,0,9643,9643,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,14270,14270,0,20417,20417,0,193520,193520,0,39607,39607,0,49908,49908,0,12493,12493,0,15.0,15.0,0.0,31.4,31.4,0.0,5.0,5.0,0.0,7.4,7.4,0.0,10.6,10.6,0.0,20.5,20.5,0.0,25.8,25.8,0.0,6.5,6.5,0.0,20.6,20.6,0.0,18.7,18.7,0.0,24.1,24.1,0.0,1.0,1.0,0.0,1.1,1.1,0.0,92.6,92.6,0.0,89.4,89.4,0.0,100.0,100.0,100.0,39779,39779,0,36253,36253,0,2016-01-12T00:00:00.000,1954,1954,0,2073,2073,0,46600,46600,0,179250,179250,0,173103,173103,0,29,29,0,72,72,0,28,28,0,54,54,0,71,71,0,36,36,0,36,36,0,35,35,0,18,18,0,,,0,11,11,0,305,305,0,174,174,0,231,231,0,2016 Report Week 02
067,067651,NYME,NYC,N10,17865,30929,-21168,9576,-772,53031,21513,29122,11087,8420,20656,16101,-6460,-10363,43455,53803,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,18.2,18.2,0.0,9.9,9.9,0.0,27.2,27.2,0.0,18.4,18.4,0.0,18.1,18.1,0.0,8.5,8.5,0.0,23.5,23.5,0.0,13.7,13.7,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,160112067651F,249863,249863,0,213491,213491,0,326905,326905,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",96180,96180,0,81444,81444,0,1756232,1756232,0,249932,249932,0,122800,122800,0,243125,243125,0,14.2,14.2,0.0,12.2,12.2,0.0,18.6,18.6,0.0,5.5,5.5,0.0,4.6,4.6,0.0,14.2,14.2,0.0,7.0,7.0,0.0,13.8,13.8,0.0,9.7,9.7,0.0,22.6,22.6,0.0,14.3,14.3,0.0,11.6,11.6,0.0,9.6,9.6,0.0,94.5,94.5,0.0,95.4,95.4,0.0,100.0,100.0,100.0,171050,171050,0,396035,396035,0,2016-01-12T00:00:00.000,203695,203695,0,168737,168737,0,250440,250440,0,1660052,1660052,0,1674788,1674788,0,48,48,0,68,68,0,75,75,0,87,87,0,68,68,0,90,90,0,58,58,0,71,71,0,20,20,0,19,19,0,30,30,0,399,399,0,319,319,0,329,329,0,2016 Report Week 02
085,085692,CMX,NYC,N25,729,2978,-31,-484,-883,5491,-680,-1548,1681,2800,2146,808,480,668,5975,6374,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,19.4,19.4,0.0,14.9,14.9,0.0,33.5,33.5,0.0,25.5,25.5,0.0,17.1,17.1,0.0,13.7,13.7,0.0,29.7,29.7,0.0,22.3,22.3,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,160119085692F,29784,29784,0,63757,63757,0,9612,9612,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,13786,13786,0,19534,19534,0,199011,199011,0,38927,38927,0,48360,48360,0,14174,14174,0,15.0,15.0,0.0,32.0,32.0,0.0,4.8,4.8,0.0,6.9,6.9,0.0,9.8,9.8,0.0,19.6,19.6,0.0,24.3,24.3,0.0,7.1,7.1,0.0,21.4,21.4,0.0,19.3,19.3,0.0,23.8,23.8,0.0,1.2,1.2,0.0,1.4,1.4,0.0,93.1,93.1,0.0,90.2,90.2,0.0,100.0,100.0,100.0,42579,42579,0,38399,38399,0,2016-01-19T00:00:00.000,2434,2434,0,2741,2741,0,47408,47408,0,185225,185225,0,179477,179477,0,30,30,0,81,81,0,27,27,0,51,51,0,70,70,0,38,38,0,35,35,0,35,35,0,18,18,0,,,0,10,10,0,310,310,0,172,172,0,238,238,0,2016 Report Week 03
088,088691,CMX,NYC,N20,1146,799,4987,-4103,-1685,11270,-1481,-110,12219,897,-1956,688,99,-3083,15373,12955,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,20.5,20.5,0.0,27.3,27.3,0.0,32.7,32.7,0.0,41.3,41.3,0.0,16.4,16.4,0.0,21.7,21.7,0.0,22.2,22.2,0.0,27.9,27.9,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,160119088691F,84054,84054,0,83615,83615,0,40214,40214,0,GOLD - COMMODITY EXCHANGE INC.,33749,33749,0,37300,37300,0,408835,408835,0,74266,74266,0,31011,31011,0,35829,35829,0,20.6,20.6,0.0,20.5,20.5,0.0,9.8,9.8,0.0,8.3,8.3,0.0,9.1,9.1,0.0,18.2,18.2,0.0,7.6,7.6,0.0,8.8,8.8,0.0,5.9,5.9,0.0,17.9,17.9,0.0,13.1,13.1,0.0,10.9,10.9,0.0,15.4,15.4,0.0,91.7,91.7,0.0,90.9,90.9,0.0,100.0,100.0,100.0,24206,24206,0,73168,73168,0,2016-01-19T00:00:00.000,44569,44569,0,63129,63129,0,53388,53388,0,375086,375086,0,371535,371535,0,56,56,0,43,43,0,37,37,0,82,82,0,72,72,0,59,59,0,16,16,0,27,27,0,15,15,0,17,17,0,28,28,0,328,328,0,231,231,0,230,230,0,2016 Report Week 03
067,067651,NYME,NYC,N10,-9163,-29454,-12181,-3040,21,-69850,-7858,-3435,-19744,-2427,2676,-17751,-10047,2314,-66810,-69871,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,17.3,17.3,0.0,10.3,10.3,0.0,27.2,27.2,0.0,19.0,19.0,0.0,17.1,17.1,0.0,8.9,8.9,0.0,23.3,23.3,0.0,14.3,14.3,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,160119067651F,240700,240700,0,184037,184037,0,314724,314724,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",93140,93140,0,81465,81465,0,1686382,1686382,0,242074,242074,0,119365,119365,0,223381,223381,0,14.3,14.3,0.0,10.9,10.9,0.0,18.7,18.7,0.0,5.5,5.5,0.0,4.8,4.8,0.0,14.4,14.4,0.0,7.1,7.1,0.0,13.2,13.2,0.0,10.0,10.0,0.0,23.6,23.6,0.0,13.8,13.8,0.0,11.5,11.5,0.0,10.1,10.1,0.0,94.5,94.5,0.0,95.2,95.2,0.0,100.0,100.0,100.0,168623,168623,0,398711,398711,0,2016-01-19T00:00:00.000,193648,193648,0,171051,171051,0,232689,232689,0,1593242,1593242,0,1604917,1604917,0,51,51,0,66,66,0,77,77,0,84,84,0,68,68,0,80,80,0,58,58,0,69,69,0,19,19,0,19,19,0,30,30,0,393,393,0,309,309,0,324,324,0,2016 Report Week 03
088,088691,CMX,NYC,N20,11691,-4673,-793,4794,450,-23485,460,1478,-14257,-4361,-714,-6196,9847,-14823,-28279,-23935,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,21.3,21.3,0.0,30.6,30.6,0.0,31.5,31.5,0.0,41.9,41.9,0.0,16.4,16.4,0.0,22.5,22.5,0.0,23.4,23.4,0.0,28.5,28.5,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,160126088691F,95745,95745,0,78942,78942,0,39421,39421,0,GOLD - COMMODITY EXCHANGE INC.,38543,38543,0,37750,37750,0,385350,385350,0,74726,74726,0,32489,32489,0,21572,21572,0,24.8,24.8,0.0,20.5,20.5,0.0,10.2,10.2,0.0,10.0,10.0,0.0,9.8,9.8,0.0,19.4,19.4,0.0,8.4,8.4,0.0,5.6,5.6,0.0,5.1,5.1,0.0,18.8,18.8,0.0,12.2,12.2,0.0,14.1,14.1,0.0,12.5,12.5,0.0,90.0,90.0,0.0,90.2,90.2,0.0,100.0,100.0,100.0,19845,19845,0,72454,72454,0,2016-01-26T00:00:00.000,54416,54416,0,48306,48306,0,47192,47192,0,346807,346807,0,347600,347600,0,60,60,0,40,40,0,37,37,0,76,76,0,71,71,0,53,53,0,17,17,0,27,27,0,12,12,0,18,18,0,26,26,0,318,318,0,224,224,0,220,220,0,2016 Report Week 04
