cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_m_money_long_all,change_in_m_money_short_all,change_in_m_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_prod_merc_long,change_in_prod_merc_short,change_in_swap_long_all,change_in_swap_short_all,change_in_swap_spread_all,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short,conc_gross_le_4_tdr_short_1,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short,conc_gross_le_8_tdr_short_1,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_all,conc_net_le_4_tdr_short_old,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_all,conc_net_le_8_tdr_short_old,conc_net_le_8_tdr_short_other,contract_market_name,contract_units,futonly_or_combined,id,m_money_positions_long_all,m_money_positions_long_old,m_money_positions_long_other,m_money_positions_short_all,m_money_positions_short_old,m_money_positions_short_other,m_money_positions_spread,m_money_positions_spread_1,m_money_positions_spread_2,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_long_old,nonrept_positions_long_other,nonrept_positions_short_all,nonrept_positions_short_old,nonrept_positions_short_other,open_interest_all,open_interest_old,open_interest_other,other_rept_positions_long,other_rept_positions_long_1,other_rept_positions_long_2,other_rept_positions_short,other_rept_positions_short_1,other_rept_positions_short_2,other_rept_positions_spread,other_rept_positions_spread_1,other_rept_positions_spread_2,pct_of_oi_m_money_long_all,pct_of_oi_m_money_long_old,pct_of_oi_m_money_long_other,pct_of_oi_m_money_short_all,pct_of_oi_m_money_short_old,pct_of_oi_m_money_short_other,pct_of_oi_m_money_spread,pct_of_oi_m_money_spread_1,pct_of_oi_m_money_spread_2,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_all,pct_of_oi_nonrept_short_old,pct_of_oi_nonrept_short_other,pct_of_oi_other_rept_long,pct_of_oi_other_rept_long_1,pct_of_oi_other_rept_long_2,pct_of_oi_other_rept_short,pct_of_oi_other_rept_short_1,pct_of_oi_other_rept_short_2,pct_of_oi_other_rept_spread,pct_of_oi_other_rept_spread_1,pct_of_oi_other_rept_spread_2,pct_of_oi_prod_merc_long,pct_of_oi_prod_merc_long_1,pct_of_oi_prod_merc_long_2,pct_of_oi_prod_merc_short,pct_of_oi_prod_merc_short_1,pct_of_oi_prod_merc_short_2,pct_of_oi_swap_long_all,pct_of_oi_swap_long_old,pct_of_oi_swap_long_other,pct_of_oi_swap_short_all,pct_of_oi_swap_short_old,pct_of_oi_swap_short_other,pct_of_oi_swap_spread_all,pct_of_oi_swap_spread_old,pct_of_oi_swap_spread_other,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short,pct_of_oi_tot_rept_short_1,pct_of_oi_tot_rept_short_2,pct_of_open_interest_all,pct_of_open_interest_old,pct_of_open_interest_other,prod_merc_positions_long,prod_merc_positions_long_1,prod_merc_positions_long_2,prod_merc_positions_short,prod_merc_positions_short_1,prod_merc_positions_short_2,report_date_as_yyyy_mm_dd,swap__positions_short_all,swap__positions_short_old,swap__positions_short_other,swap__positions_spread_all,swap__positions_spread_old,swap__positions_spread_other,swap_positions_long_all,swap_positions_long_old,swap_positions_long_other,tot_rept_positions_long_all,tot_rept_positions_long_old,tot_rept_positions_long_other,tot_rept_positions_short,tot_rept_positions_short_1,tot_rept_positions_short_2,traders_m_money_long_all,traders_m_money_long_old,traders_m_money_long_other,traders_m_money_short_all,traders_m_money_short_old,traders_m_money_short_other,traders_m_money_spread_all,traders_m_money_spread_old,traders_m_money_spread_other,traders_other_rept_long_all,traders_other_rept_long_old,traders_other_rept_long_other,traders_other_rept_short,traders_other_rept_short_1,traders_other_rept_short_2,traders_other_rept_spread,traders_other_rept_spread_1,traders_other_rept_spread_2,traders_prod_merc_long_all,traders_prod_merc_long_old,traders_prod_merc_long_other,traders_prod_merc_short_all,traders_prod_merc_short_old,traders_prod_merc_short_other,traders_swap_long_all,traders_swap_long_old,traders_swap_long_other,traders_swap_short_all,traders_swap_short_old,traders_swap_short_other,traders_swap_spread_all,traders_swap_spread_old,traders_swap_spread_other,traders_tot_all,traders_tot_old,traders_tot_other,traders_tot_rept_long_all,traders_tot_rept_long_old,traders_tot_rept_long_other,traders_tot_rept_short_all,traders_tot_rept_short_old,traders_tot_rept_short_other,yyyy_report_week_ww
088,088691,CMX,NYC,N20,3397,-3749,6804,382,-2815,20039,1411,2216,3436,3979,9130,-718,3669,1348,19657,22854,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,22.6,22.6,0.0,25.8,25.8,0.0,33.2,33.2,0.0,39.2,39.2,0.0,22.1,22.1,0.0,20.8,20.8,0.0,29.1,29.1,0.0,32.5,32.5,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,150106088691F,128325,128325,0,34129,34129,0,19111,19111,0,GOLD - COMMODITY EXCHANGE INC.,34990,34990,0,34496,34496,0,394021,394021,0,59380,59380,0,31398,31398,0,21788,21788,0,32.6,32.6,0.0,8.7,8.7,0.0,4.9,4.9,0.0,8.9,8.9,0.0,8.8,8.8,0.0,15.1,15.1,0.0,8.0,8.0,0.0,5.5,5.5,0.0,8.3,8.3,0.0,23.4,23.4,0.0,14.9,14.9,0.0,31.0,31.0,0.0,9.9,9.9,0.0,91.1,91.1,0.0,91.2,91.2,0.0,100.0,100.0,100.0,32669,32669,0,92020,92020,0,2015-01-06T00:00:00.000,122190,122190,0,38889,38889,0,58869,58869,0,359031,359031,0,359525,359525,0,63,63,0,30,30,0,26,26,0,63,63,0,52,52,0,45,45,0,20,20,0,33,33,0,13,13,0,20,20,0,20,20,0,291,291,0,204,204,0,190,190,0,2015 Report Week 01
085,085692,CMX,NYC,N25,-839,5585,945,-70,1224,10930,2229,2017,1563,7254,-492,-182,58,30,11000,9706,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,18.8,18.8,0.0,17.6,17.6,0.0,32.2,32.2,0.0,28.0,28.0,0.0,17.0,17.0,0.0,14.2,14.2,0.0,29.1,29.1,0.0,23.7,23.7,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,150106085692F,34032,34032,0,44964,44964,0,5662,5662,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,11278,11278,0,24004,24004,0,170037,170037,0,11896,11896,0,42229,42229,0,7973,7973,0,20.0,20.0,0.0,26.4,26.4,0.0,3.3,3.3,0.0,6.6,6.6,0.0,14.1,14.1,0.0,7.0,7.0,0.0,24.8,24.8,0.0,4.7,4.7,0.0,22.7,22.7,0.0,22.5,22.5,0.0,34.1,34.1,0.0,2.5,2.5,0.0,1.6,1.6,0.0,93.4,93.4,0.0,85.9,85.9,0.0,100.0,100.0,100.0,38632,38632,0,38314,38314,0,2015-01-06T00:00:00.000,4227,4227,0,2664,2664,0,57900,57900,0,158759,158759,0,146033,146033,0,35,35,0,67,67,0,21,21,0,24,24,0,61,61,0,29,29,0,27,27,0,27,27,0,20,20,0,5,5,0,15,15,0,253,253,0,137,137,0,198,198,0,2015 Report Week 01
067,067651,NYME,NYC,N10,10757,16990,9806,7694,4709,47372,8880,6331,2826,11537,16595,-1833,-7590,-2295,39678,42663,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,14.9,14.9,0.0,14.4,14.4,0.0,26.0,26.0,0.0,25.4,25.4,0.0,11.7,11.7,0.0,11.3,11.3,0.0,17.3,17.3,0.0,18.5,18.5,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,150106067651F,270010,270010,0,81759,81759,0,241346,241346,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",82801,82801,0,71723,71723,0,1505101,1505101,0,170811,170811,0,90262,90262,0,249669,249669,0,17.9,17.9,0.0,5.4,5.4,0.0,16.0,16.0,0.0,5.5,5.5,0.0,4.8,4.8,0.0,11.3,11.3,0.0,6.0,6.0,0.0,16.6,16.6,0.0,13.6,13.6,0.0,19.1,19.1,0.0,8.0,8.0,0.0,21.2,21.2,0.0,11.0,11.0,0.0,94.5,94.5,0.0,95.2,95.2,0.0,100.0,100.0,100.0,205377,205377,0,286774,286774,0,2015-01-06T00:00:00.000,318734,318734,0,164834,164834,0,120253,120253,0,1422300,1422300,0,1433378,1433378,0,55,55,0,59,59,0,71,71,0,62,62,0,57,57,0,63,63,0,52,52,0,65,65,0,18,18,0,18,18,0,30,30,0,353,353,0,280,280,0,283,283,0,2015 Report Week 01
088,088691,CMX,NYC,N20,3848,-3897,-2282,3994,-2962,8087,1406,1103,2112,1938,7294,-1858,7790,-1071,4093,11049,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,21.3,21.3,0.0,26.4,26.4,0.0,30.9,30.9,0.0,39.8,39.8,0.0,21.0,21.0,0.0,21.5,21.5,0.0,27.8,27.8,0.0,33.3,33.3,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,150113088691F,132173,132173,0,30232,30232,0,16829,16829,0,GOLD - COMMODITY EXCHANGE INC.,38984,38984,0,31534,31534,0,402108,402108,0,60786,60786,0,32501,32501,0,23900,23900,0,32.9,32.9,0.0,7.5,7.5,0.0,4.2,4.2,0.0,9.7,9.7,0.0,7.8,7.8,0.0,15.1,15.1,0.0,8.1,8.1,0.0,5.9,5.9,0.0,8.6,8.6,0.0,24.7,24.7,0.0,14.2,14.2,0.0,32.3,32.3,0.0,9.4,9.4,0.0,90.3,90.3,0.0,92.2,92.2,0.0,100.0,100.0,100.0,34607,34607,0,99314,99314,0,2015-01-13T00:00:00.000,129980,129980,0,37818,37818,0,57011,57011,0,363124,363124,0,370574,370574,0,64,64,0,25,25,0,22,22,0,66,66,0,51,51,0,51,51,0,23,23,0,34,34,0,13,13,0,20,20,0,22,22,0,291,291,0,214,214,0,185,185,0,2015 Report Week 02
085,085692,CMX,NYC,N25,4243,3242,-1294,851,116,9422,3227,-1214,7421,-4004,2568,269,-126,-1291,8571,9306,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,18.8,18.8,0.0,16.6,16.6,0.0,31.4,31.4,0.0,27.8,27.8,0.0,16.2,16.2,0.0,13.8,13.8,0.0,27.3,27.3,0.0,23.9,23.9,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,150113085692F,38275,38275,0,48206,48206,0,4368,4368,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,12129,12129,0,24120,24120,0,179459,179459,0,15123,15123,0,41015,41015,0,15394,15394,0,21.3,21.3,0.0,26.9,26.9,0.0,2.4,2.4,0.0,6.8,6.8,0.0,13.4,13.4,0.0,8.4,8.4,0.0,22.9,22.9,0.0,8.6,8.6,0.0,19.3,19.3,0.0,22.8,22.8,0.0,32.4,32.4,0.0,2.3,2.3,0.0,0.8,0.8,0.0,93.2,93.2,0.0,86.6,86.6,0.0,100.0,100.0,100.0,34628,34628,0,40882,40882,0,2015-01-13T00:00:00.000,4101,4101,0,1373,1373,0,58169,58169,0,167330,167330,0,155339,155339,0,37,37,0,72,72,0,24,24,0,24,24,0,78,78,0,32,32,0,27,27,0,30,30,0,20,20,0,5,5,0,11,11,0,279,279,0,147,147,0,220,220,0,2015 Report Week 02
067,067651,NYME,NYC,N10,35697,19153,33529,3999,6770,122434,8946,18810,6285,24134,44137,6785,-9309,3059,118435,115664,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,13.5,13.5,0.0,13.6,13.6,0.0,24.3,24.3,0.0,24.3,24.3,0.0,11.4,11.4,0.0,10.3,10.3,0.0,16.8,16.8,0.0,16.8,16.8,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,150113067651F,305707,305707,0,100912,100912,0,274875,274875,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",86800,86800,0,78493,78493,0,1627535,1627535,0,179757,179757,0,109072,109072,0,255954,255954,0,18.8,18.8,0.0,6.2,6.2,0.0,16.9,16.9,0.0,5.3,5.3,0.0,4.8,4.8,0.0,11.0,11.0,0.0,6.7,6.7,0.0,15.7,15.7,0.0,14.1,14.1,0.0,20.3,20.3,0.0,7.8,7.8,0.0,19.0,19.0,0.0,10.3,10.3,0.0,94.7,94.7,0.0,95.2,95.2,0.0,100.0,100.0,100.0,229511,229511,0,330911,330911,0,2015-01-13T00:00:00.000,309425,309425,0,167893,167893,0,127038,127038,0,1540735,1540735,0,1549042,1549042,0,60,60,0,64,64,0,75,75,0,69,69,0,58,58,0,75,75,0,53,53,0,62,62,0,16,16,0,19,19,0,30,30,0,370,370,0,301,301,0,297,297,0,2015 Report Week 02
088,088691,CMX,NYC,N20,23429,-3971,1279,4461,-3444,28020,6869,2040,472,-5301,15634,-180,19019,-3009,23559,31464,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,20.0,20.0,0.0,26.9,26.9,0.0,28.9,28.9,0.0,41.2,41.2,0.0,19.3,19.3,0.0,23.9,23.9,0.0,26.7,26.7,0.0,36.1,36.1,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,150120088691F,155602,155602,0,26261,26261,0,18108,18108,0,GOLD - COMMODITY EXCHANGE INC.,43445,43445,0,28090,28090,0,430128,430128,0,67655,67655,0,34541,34541,0,24372,24372,0,36.2,36.2,0.0,6.1,6.1,0.0,4.2,4.2,0.0,10.1,10.1,0.0,6.5,6.5,0.0,15.7,15.7,0.0,8.0,8.0,0.0,5.7,5.7,0.0,6.8,6.8,0.0,26.7,26.7,0.0,13.2,13.2,0.0,34.6,34.6,0.0,8.1,8.1,0.0,89.9,89.9,0.0,93.5,93.5,0.0,100.0,100.0,100.0,29306,29306,0,114948,114948,0,2015-01-20T00:00:00.000,148999,148999,0,34809,34809,0,56831,56831,0,386683,386683,0,402038,402038,0,83,83,0,23,23,0,28,28,0,78,78,0,60,60,0,54,54,0,24,24,0,33,33,0,14,14,0,21,21,0,24,24,0,331,331,0,254,254,0,194,194,0,2015 Report Week 03
085,085692,CMX,NYC,N25,-2544,-4398,523,130,1280,-6613,-4526,-1710,-287,-3171,-1257,2662,-1364,600,-6743,-7893,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,19.2,19.2,0.0,17.5,17.5,0.0,32.9,32.9,0.0,28.8,28.8,0.0,17.1,17.1,0.0,14.4,14.4,0.0,28.8,28.8,0.0,24.5,24.5,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,150120085692F,35731,35731,0,43808,43808,0,4891,4891,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,12259,12259,0,25400,25400,0,172846,172846,0,10597,10597,0,39305,39305,0,15107,15107,0,20.7,20.7,0.0,25.3,25.3,0.0,2.8,2.8,0.0,7.1,7.1,0.0,14.7,14.7,0.0,6.1,6.1,0.0,22.7,22.7,0.0,8.7,8.7,0.0,18.2,18.2,0.0,22.9,22.9,0.0,35.2,35.2,0.0,1.6,1.6,0.0,1.1,1.1,0.0,92.9,92.9,0.0,85.3,85.3,0.0,100.0,100.0,100.0,31457,31457,0,39625,39625,0,2015-01-20T00:00:00.000,2737,2737,0,1973,1973,0,60831,60831,0,160587,160587,0,147446,147446,0,31,31,0,68,68,0,22,22,0,19,19,0,62,62,0,30,30,0,27,27,0,34,34,0,21,21,0,5,5,0,13,13,0,254,254,0,134,134,0,207,207,0,2015 Report Week 03
067,067651,NYME,NYC,N10,-1178,-2089,-17423,-4089,-764,-36513,-3778,-8656,-8622,-5555,8884,9860,-2115,-5728,-32424,-35749,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,13.3,13.3,0.0,13.5,13.5,0.0,23.9,23.9,0.0,24.2,24.2,0.0,11.8,11.8,0.0,10.6,10.6,0.0,17.6,17.6,0.0,17.1,17.1,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,150120067651F,304529,304529,0,98823,98823,0,257452,257452,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",82711,82711,0,77729,77729,0,1591022,1591022,0,175979,175979,0,100416,100416,0,247332,247332,0,19.1,19.1,0.0,6.2,6.2,0.0,16.2,16.2,0.0,5.2,5.2,0.0,4.9,4.9,0.0,11.1,11.1,0.0,6.3,6.3,0.0,15.5,15.5,0.0,14.1,14.1,0.0,21.4,21.4,0.0,8.6,8.6,0.0,19.3,19.3,0.0,10.2,10.2,0.0,94.8,94.8,0.0,95.1,95.1,0.0,100.0,100.0,100.0,223956,223956,0,339795,339795,0,2015-01-20T00:00:00.000,307310,307310,0,162165,162165,0,136898,136898,0,1508311,1508311,0,1513293,1513293,0,58,58,0,59,59,0,67,67,0,68,68,0,55,55,0,64,64,0,55,55,0,66,66,0,18,18,0,17,17,0,31,31,0,363,363,0,296,296,0,276,276,0,2015 Report Week 03
088,088691,CMX,NYC,N20,17508,-6388,-195,286,-1594,8151,-2358,-4932,-3470,-4696,6178,-7111,10365,8187,7865,9745,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,19.2,19.2,0.0,28.6,28.6,0.0,28.1,28.1,0.0,44.9,44.9,0.0,18.0,18.0,0.0,26.5,26.5,0.0,25.2,25.2,0.0,40.1,40.1,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,150127088691F,173110,173110,0,19873,19873,0,17913,17913,0,GOLD - COMMODITY EXCHANGE INC.,43731,43731,0,26496,26496,0,438279,438279,0,65297,65297,0,29609,29609,0,20902,20902,0,39.5,39.5,0.0,4.5,4.5,0.0,4.1,4.1,0.0,10.0,10.0,0.0,6.0,6.0,0.0,14.9,14.9,0.0,6.8,6.8,0.0,4.8,4.8,0.0,5.6,5.6,0.0,27.6,27.6,0.0,11.3,11.3,0.0,36.4,36.4,0.0,9.8,9.8,0.0,90.0,90.0,0.0,94.0,94.0,0.0,100.0,100.0,100.0,24610,24610,0,121126,121126,0,2015-01-27T00:00:00.000,159364,159364,0,42996,42996,0,49720,49720,0,394548,394548,0,411783,411783,0,90,90,0,18,18,0,28,28,0,80,80,0,50,50,0,47,47,0,21,21,0,36,36,0,15,15,0,20,20,0,23,23,0,320,320,0,247,247,0,184,184,0,2015 Report Week 04
