date,ticker,close
2019-01-02,XLK,29.07
2019-01-02,XLF,21.04
2019-01-02,XLV,75.58
2019-01-02,XLY,46.75
2019-01-02,XLP,41.9
2019-01-02,XLI,57.59
2019-01-02,XLE,21.26
2019-01-02,XLU,20.9
2019-01-02,XLRE,23.99
2019-01-02,XLB,22.03
2019-01-02,XLC,39.14
2019-01-02,SPY,224.38
2019-01-03,XLK,27.6
2019-01-03,XLF,20.57
2019-01-03,XLV,74.05
2019-01-03,XLY,45.74
2019-01-03,XLP,41.66
2019-01-03,XLI,55.84
2019-01-03,XLE,21.05
2019-01-03,XLU,20.9
2019-01-03,XLRE,24.1
2019-01-03,XLB,21.4
2019-01-03,XLC,38.49
2019-01-03,SPY,219.03
2019-01-04,XLK,28.82
2019-01-04,XLF,21.25
2019-01-04,XLV,76.26
2019-01-04,XLY,47.25
2019-01-04,XLP,42.55
2019-01-04,XLI,57.96
2019-01-04,XLE,21.77
2019-01-04,XLU,21.21
2019-01-04,XLRE,24.34
2019-01-04,XLB,22.24
2019-01-04,XLC,40.14
2019-01-04,SPY,226.36
2019-01-07,XLK,29.08
2019-01-07,XLF,21.28
2019-01-07,XLV,76.55
2019-01-07,XLY,48.32
2019-01-07,XLP,42.49
2019-01-07,XLI,58.43
2019-01-07,XLE,22.09
2019-01-07,XLU,21.06
2019-01-07,XLRE,24.55
2019-01-07,XLB,22.32
2019-01-07,XLC,40.6
2019-01-07,SPY,228.15
2019-01-08,XLK,29.33
2019-01-08,XLF,21.3
2019-01-08,XLV,77.14
2019-01-08,XLY,48.85
2019-01-08,XLP,42.88
2019-01-08,XLI,59.23
2019-01-08,XLE,22.26
2019-01-08,XLU,21.33
2019-01-08,XLRE,24.98
2019-01-08,XLB,22.56
2019-01-08,XLC,41.28
2019-01-08,SPY,230.29
2019-01-09,XLK,29.71
2019-01-09,XLF,21.4
2019-01-09,XLV,77.49
2019-01-09,XLY,49.1
2019-01-09,XLP,42.48
2019-01-09,XLI,59.63
2019-01-09,XLE,22.61
2019-01-09,XLU,21.2
2019-01-09,XLRE,24.87
2019-01-09,XLB,22.57
2019-01-09,XLC,41.34
2019-01-09,SPY,231.37
2019-01-10,XLK,29.84
2019-01-10,XLF,21.41
2019-01-10,XLV,77.64
2019-01-10,XLY,48.96
2019-01-10,XLP,42.73
2019-01-10,XLI,60.44
2019-01-10,XLE,22.68
2019-01-10,XLU,21.47
2019-01-10,XLRE,25.27
2019-01-10,XLB,22.77
2019-01-10,XLC,41.43
2019-01-10,SPY,232.19
2019-01-11,XLK,29.78
2019-01-11,XLF,21.46
2019-01-11,XLV,77.9
2019-01-11,XLY,49.01
2019-01-11,XLP,42.86
2019-01-11,XLI,60.38
