asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_asset_mgr_long,change_in_asset_mgr_short,change_in_asset_mgr_spread,change_in_dealer_long_all,change_in_dealer_short_all,change_in_dealer_spread_all,change_in_lev_money_long,change_in_lev_money_short,change_in_lev_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,contract_market_name,contract_units,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,futonly_or_combined,id,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_all,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,pct_of_oi_asset_mgr_long,pct_of_oi_asset_mgr_short,pct_of_oi_asset_mgr_spread,pct_of_oi_dealer_long_all,pct_of_oi_dealer_short_all,pct_of_oi_dealer_spread_all,pct_of_oi_lev_money_long,pct_of_oi_lev_money_short,pct_of_oi_lev_money_spread,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_open_interest_all,report_date_as_yyyy_mm_dd,tot_rept_positions_long_all,tot_rept_positions_short,traders_asset_mgr_long_all,traders_asset_mgr_short_all,traders_asset_mgr_spread,traders_dealer_long_all,traders_dealer_short_all,traders_dealer_spread_all,traders_lev_money_long_all,traders_lev_money_short_all,traders_lev_money_spread,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_all,traders_tot_rept_long_all,traders_tot_rept_short_all,yyyy_report_week_ww
999259,710918,370149,043,043602,CBT,CHI,F30,31295,-41698,18153,11619,30929,1953,-23341,18034,9602,367,-401,47418,-6098,6978,3868,47051,47819,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,33.3,16.4,42.6,24.5,28.7,12.1,36.2,17.3,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",76087,181698,23401,FutOnly,160105043602F,337075,577745,81827,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,284547,433809,2534485,337083,129881,25057,39.4,28.0,14.6,3.0,7.2,0.9,13.3,22.8,3.2,11.2,17.1,13.3,5.1,1.0,88.8,82.9,100.0,2016-01-05T00:00:00.000,2249938,2100676,59,78,68,19,30,8,50,64,37,17,37,13,354,233,247,2016 Report Week 01
1050217,761632,277844,138,13874A,CME,CHI,F20,-58053,65027,2867,18982,-13539,8524,-9275,7316,1270,75976,9086,67314,26002,-14258,1021,-8662,58228,,,S&P BROAD BASED STOCK INDICES,,17.2,13.3,27.2,22.2,14.9,12.9,23.7,20.2,E-MINI S&P 500,($50 X S&P 500 INDEX),243284,311833,35781,FutOnly,16010513874AF,327433,630899,82158,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,423227,277182,2573728,118862,181477,14922,40.8,29.6,10.8,9.5,12.1,1.4,12.7,24.5,3.2,16.4,10.8,4.6,7.1,0.6,83.6,89.2,100.0,2016-01-05T00:00:00.000,2150501,2296546,110,83,84,31,32,18,62,112,55,36,55,12,521,329,361,2016 Report Week 01
299379,301933,100096,042,042601,CBT,CHI,F30,-18977,7005,815,4604,-28980,5995,27095,36905,-2003,6397,-805,14204,-11725,-6731,2003,7807,15009,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,21.8,15.7,35.8,24.3,19.7,15.6,31.9,23.9,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",43455,63562,9128,FutOnly,160105042601F,254556,255512,43054,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,105138,142725,1031431,172939,111735,3686,29.0,29.3,9.7,4.2,6.2,0.9,24.7,24.8,4.2,10.2,13.8,16.8,10.8,0.4,89.8,86.2,100.0,2016-01-05T00:00:00.000,926293,888706,46,40,38,15,26,5,39,39,24,18,33,8,256,149,182,2016 Report Week 01
1103109,711349,370451,043,043602,CBT,CHI,F30,103850,431,302,-12561,44681,17017,24285,27323,-20998,18409,27714,116593,-14759,19075,1048,98184,88879,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,34.2,16.9,45.2,24.0,30.2,12.4,39.6,17.7,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",63526,226379,40418,FutOnly,160112043602F,361360,605068,60829,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,302956,461523,2651078,322324,148956,26105,41.6,26.8,14.0,2.4,8.5,1.5,13.6,22.8,2.3,11.4,17.4,12.2,5.6,1.0,88.6,82.6,100.0,2016-01-12T00:00:00.000,2348122,2189555,61,76,73,16,36,13,43,66,39,14,40,14,352,226,265,2016 Report Week 02
1064281,866036,290475,138,13874A,CME,CHI,F20,14064,104404,12631,73615,13798,15376,4426,-32990,5692,55327,2369,171956,-10461,49390,1286,116629,169587,,,S&P BROAD BASED STOCK INDICES,,16.2,12.5,26.7,20.7,14.1,12.2,23.4,19.6,E-MINI S&P 500,($50 X S&P 500 INDEX),316899,325631,51157,FutOnly,16011213874AF,331859,597909,87850,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,478554,279551,2745684,108401,230867,16208,38.8,31.5,10.6,11.5,11.9,1.9,12.1,21.8,3.2,17.4,10.2,3.9,8.4,0.6,82.6,89.8,100.0,2016-01-12T00:00:00.000,2267130,2466133,111,90,84,36,33,20,72,107,58,42,60,13,551,349,377,2016 Report Week 02
339570,285305,102076,042,042601,CBT,CHI,F30,40191,-16628,1980,-19811,33799,1275,36392,-13198,-11789,303,-1954,3638,-46547,8509,1644,3335,5592,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,22.6,17.6,38.0,26.3,22.0,17.2,35.8,25.3,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",23644,97361,10403,FutOnly,160112042601F,290948,242314,31265,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,105441,140771,1035069,126392,120244,5330,32.8,27.6,9.9,2.3,9.4,1.0,28.1,23.4,3.0,10.2,13.6,12.2,11.6,0.5,89.8,86.4,100.0,2016-01-12T00:00:00.000,929628,894298,49,39,41,8,32,6,44,40,26,18,35,7,265,154,191,2016 Report Week 02
1099697,914899,269393,138,13874A,CME,CHI,F20,35416,48863,-21082,68726,3488,2218,-18951,119993,-1316,35861,-13123,117763,16094,-22075,797,81902,130886,,,S&P BROAD BASED STOCK INDICES,,16.4,12.2,26.8,19.9,14.0,11.5,23.8,19.1,E-MINI S&P 500,($50 X S&P 500 INDEX),385625,329119,53375,FutOnly,16011913874AF,312908,717902,86534,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,514415,266428,2863447,124495,208792,17005,38.4,32.0,9.4,13.5,11.5,1.9,10.9,25.1,3.0,18.0,9.3,4.3,7.3,0.6,82.0,90.7,100.0,2016-01-19T00:00:00.000,2349032,2597019,112,92,83,34,34,20,73,123,67,43,56,11,567,356,392,2016 Report Week 03
333120,265662,99060,042,042601,CBT,CHI,F30,-6450,-19643,-3016,-869,504,-2110,16083,9060,1294,-122,2151,595,-4925,11645,710,717,-1556,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,22.8,16.2,38.0,25.3,22.4,16.1,35.0,24.3,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",22775,97865,8293,FutOnly,160119042601F,307031,251374,32559,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,105319,142922,1035664,121467,131889,6040,32.2,25.7,9.6,2.2,9.4,0.8,29.6,24.3,3.1,10.2,13.8,11.7,12.7,0.6,89.8,86.2,100.0,2016-01-19T00:00:00.000,930345,892742,51,36,41,7,33,5,41,44,31,17,33,9,262,152,196,2016 Report Week 03
1160760,771543,365900,043,043602,CBT,CHI,F30,57651,60194,-4551,-9230,53441,11487,41009,33544,29455,35587,-43151,153042,-9557,11432,1191,117455,196193,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,33.4,16.1,45.5,24.4,30.6,12.4,40.2,17.8,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",54296,279820,51905,FutOnly,160119043602F,402369,638612,90284,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,338543,418372,2804120,312767,160388,27296,41.4,27.5,13.0,1.9,10.0,1.9,14.3,22.8,3.2,12.1,14.9,11.2,5.7,1.0,87.9,85.1,100.0,2016-01-19T00:00:00.000,2465577,2385748,58,78,74,15,44,12,44,69,47,15,42,17,365,235,280,2016 Report Week 03
338427,263583,101295,042,042601,CBT,CHI,F30,5307,-2079,2235,-2966,6735,940,17253,14213,4714,6597,9671,38621,2241,-108,2300,32024,28950,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,25.4,16.8,38.6,26.3,25.3,16.7,36.2,25.9,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",19809,104600,9233,FutOnly,160126042601F,324284,265587,37273,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,111916,152593,1074285,123708,131781,8340,31.5,24.5,9.4,1.8,9.7,0.9,30.2,24.7,3.5,10.4,14.2,11.5,12.3,0.8,89.6,85.8,100.0,2016-01-26T00:00:00.000,962369,921692,50,38,44,7,35,8,38,44,28,17,30,8,259,153,194,2016 Report Week 04
