asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_asset_mgr_long,change_in_asset_mgr_short,change_in_asset_mgr_spread,change_in_dealer_long_all,change_in_dealer_short_all,change_in_dealer_spread_all,change_in_lev_money_long,change_in_lev_money_short,change_in_lev_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,contract_market_name,contract_units,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,futonly_or_combined,id,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_all,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,pct_of_oi_asset_mgr_long,pct_of_oi_asset_mgr_short,pct_of_oi_asset_mgr_spread,pct_of_oi_dealer_long_all,pct_of_oi_dealer_short_all,pct_of_oi_dealer_spread_all,pct_of_oi_lev_money_long,pct_of_oi_lev_money_short,pct_of_oi_lev_money_spread,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_open_interest_all,report_date_as_yyyy_mm_dd,tot_rept_positions_long_all,tot_rept_positions_short,traders_asset_mgr_long_all,traders_asset_mgr_short_all,traders_asset_mgr_spread,traders_dealer_long_all,traders_dealer_short_all,traders_dealer_spread_all,traders_lev_money_long_all,traders_lev_money_short_all,traders_lev_money_spread,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_all,traders_tot_rept_long_all,traders_tot_rept_short_all,yyyy_report_week_ww
1220747,263371,160574,138 ,13874+,CME ,CHI,F20,65146,-11754,2945,-16621,32800,4519,2228,36734,3747,9278,-4501,67939,-368,6384,-2935,58661,72440,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,11.7,25.4,18.5,35.1,10.4,25.3,17.1,34.0,S&P 500 Consolidated,(S&P 500 INDEX X $50.00),256142,848962,35268,FutOnly,24010213874+F,147532,537745,41387,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,275689,190220,2234726,94689,154502,2699,54.6,11.8,7.2,11.5,38.0,1.6,6.6,24.1,1.9,12.3,8.5,4.2,6.9,0.1,87.7,91.5,100.0,2024-01-02T00:00:00.000,1959037,2044506,181,60,101,30,39,20,65,82,50,16,26,6,500,357,320,2024 Report Week 01
1702951,458073,303590,042 ,042601,CBT ,CHI,F30,8887,-13111,-2362,5667,35550,-2845,15191,-22498,2233,-15377,7500,8438,-905,6022,-2051,23815,938,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,25.5,32.4,33.5,49.0,24.0,32.4,30.7,48.4,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",120665,363626,11345,FutOnly,240102042601F,776321,2269655,66421,UST 2Y NOTE - CHICAGO BOARD OF TRADE,248982,134760,3770545,529411,152216,10859,45.2,12.1,8.1,3.2,9.6,0.3,20.6,60.2,1.8,6.6,3.6,14.0,4.0,0.3,93.4,96.4,100.0,2024-01-02T00:00:00.000,3521563,3635785,161,44,90,27,24,9,72,62,35,52,12,5,454,355,238,2024 Report Week 01
2421790,1079503,705737,043 ,043602,CBT ,CHI,F30,36217,-7707,7314,13379,20570,-11626,-23683,48491,14101,-22684,6651,30815,17673,-47103,124,53499,24164,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,23.1,21.5,36.1,32.4,20.4,19.9,29.8,28.5,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",169610,330098,67517,FutOnly,240102043602F,293812,1831940,86093,UST 10Y NOTE - CHICAGO BOARD OF TRADE,399483,349388,4620698,476108,169874,548,52.4,23.4,15.3,3.7,7.1,1.5,6.4,39.6,1.9,8.6,7.6,10.3,3.7,0.0,91.4,92.4,100.0,2024-01-02T00:00:00.000,4221215,4271310,133,51,103,21,31,11,44,78,35,26,18,5,402,281,275,2024 Report Week 01
1693596,440534,320564,042 ,042601,CBT ,CHI,F30,-9355,-17539,16974,8372,46701,-5623,-9211,-19155,9165,7244,-7568,11007,-6870,-12259,311,3763,18575,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,25.2,34.1,33.2,50.8,23.7,34.1,30.6,50.2,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",129037,410327,5722,FutOnly,240109042601F,767110,2250500,75586,UST 2Y NOTE - CHICAGO BOARD OF TRADE,256226,127192,3781552,522541,139957,11170,44.8,11.6,8.5,3.4,10.9,0.2,20.3,59.5,2.0,6.8,3.4,13.8,3.7,0.3,93.2,96.6,100.0,2024-01-09T00:00:00.000,3525326,3654360,158,49,89,29,24,10,67,63,35,53,11,5,454,354,239,2024 Report Week 02
2423409,1109593,678932,043 ,043602,CBT ,CHI,F30,1619,30090,-26805,-17988,-14507,5317,45250,14829,3568,14902,4465,31597,5738,14644,-4,16695,27132,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,22.8,20.1,36.1,31.5,20.1,18.9,30.1,28.0,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",151622,315591,72834,FutOnly,240109043602F,339062,1846769,89661,UST 10Y NOTE - CHICAGO BOARD OF TRADE,414385,353853,4652295,481846,184518,544,52.1,23.9,14.6,3.3,6.8,1.6,7.3,39.7,1.9,8.9,7.6,10.4,4.0,0.0,91.1,92.4,100.0,2024-01-09T00:00:00.000,4237910,4298442,128,58,104,18,32,12,51,80,43,28,15,4,410,290,283,2024 Report Week 02
1196261,266029,163224,138 ,13874+,CME ,CHI,F20,-24486,2658,2651,-42851,48012,-45,15151,-67660,13983,8621,-833,-9481,13169,-12573,4326,-18103,-8648,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,11.3,25.5,18.0,35.8,10.1,25.2,16.8,34.4,S&P 500 Consolidated,(S&P 500 INDEX X $50.00),213291,896974,35223,FutOnly,24010913874+F,162683,470085,55370,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,284310,189387,2225245,107858,141928,7025,53.8,12.0,7.3,9.6,40.3,1.6,7.3,21.1,2.5,12.8,8.5,4.8,6.4,0.3,87.2,91.5,100.0,2024-01-09T00:00:00.000,1940935,2035858,183,61,103,27,42,19,69,82,55,20,24,7,508,365,327,2024 Report Week 02
1191827,262325,172855,138 ,13874+,CME ,CHI,F20,-4434,-3704,9630,5553,-41153,1962,-8176,-22671,9566,-15625,19048,8281,4490,30287,5315,23906,-10767,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,11.4,24.3,17.8,34.5,10.3,24.0,16.6,32.9,S&P 500 Consolidated,(S&P 500 INDEX X $50.00),218844,855821,37185,FutOnly,24011613874+F,154507,447414,64935,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,268685,208436,2233526,112348,172216,12340,53.4,11.7,7.7,9.8,38.3,1.7,6.9,20.0,2.9,12.0,9.3,5.0,7.7,0.6,88.0,90.7,100.0,2024-01-16T00:00:00.000,1964841,2025091,184,63,105,32,38,19,66,86,60,21,21,6,512,373,329,2024 Report Week 03
1735617,484830,316918,042 ,042601,CBT ,CHI,F30,42021,44296,-3646,-1799,21338,962,97186,48353,-4461,-7897,7152,119267,-3911,4461,812,127164,112115,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,26.2,32.6,34.6,49.2,24.9,32.6,32.1,48.7,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",127238,431665,6684,FutOnly,240116042601F,864296,2298853,71125,UST 2Y NOTE - CHICAGO BOARD OF TRADE,248329,134344,3900819,518630,144418,11982,44.5,12.4,8.1,3.3,11.1,0.2,22.2,58.9,1.8,6.4,3.4,13.3,3.7,0.3,93.6,96.6,100.0,2024-01-16T00:00:00.000,3652490,3766475,160,49,87,27,27,10,64,61,32,48,12,5,448,343,239,2024 Report Week 03
2534390,1145844,643992,043 ,043602,CBT ,CHI,F30,110981,36251,-34940,17378,9169,23423,7488,76717,-9995,-2701,-8779,92419,-19293,495,78,95120,101198,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,22.1,20.0,35.6,30.8,19.4,19.7,30.8,28.7,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",169000,324760,96257,FutOnly,240116043602F,346550,1923486,79666,UST 10Y NOTE - CHICAGO BOARD OF TRADE,411684,345074,4744714,462553,185013,622,53.4,24.1,13.6,3.6,6.8,2.0,7.3,40.5,1.7,8.7,7.3,9.7,3.9,0.0,91.3,92.7,100.0,2024-01-16T00:00:00.000,4333030,4399640,130,56,98,25,31,11,52,82,44,29,14,4,419,298,278,2024 Report Week 03
1698065,483699,342348,042 ,042601,CBT ,CHI,F30,-37552,-1131,25430,3188,7155,3055,16240,7481,12067,11715,-7667,41650,4993,-7254,2514,29935,49317,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,27.6,32.4,36.2,48.9,26.2,32.4,33.9,48.5,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",130426,438820,9739,FutOnly,240123042601F,880536,2306334,83192,UST 2Y NOTE - CHICAGO BOARD OF TRADE,260044,126677,3942469,523623,137164,14496,43.1,12.3,8.7,3.3,11.1,0.2,22.3,58.5,2.1,6.6,3.2,13.3,3.5,0.4,93.4,96.8,100.0,2024-01-23T00:00:00.000,3682425,3815792,157,48,86,30,28,11,63,66,36,50,11,5,453,348,243,2024 Report Week 04
