asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_asset_mgr_long,change_in_asset_mgr_short,change_in_asset_mgr_spread,change_in_dealer_long_all,change_in_dealer_short_all,change_in_dealer_spread_all,change_in_lev_money_long,change_in_lev_money_short,change_in_lev_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,contract_market_name,contract_units,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,futonly_or_combined,id,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_all,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,pct_of_oi_asset_mgr_long,pct_of_oi_asset_mgr_short,pct_of_oi_asset_mgr_spread,pct_of_oi_dealer_long_all,pct_of_oi_dealer_short_all,pct_of_oi_dealer_spread_all,pct_of_oi_lev_money_long,pct_of_oi_lev_money_short,pct_of_oi_lev_money_spread,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_open_interest_all,report_date_as_yyyy_mm_dd,tot_rept_positions_long_all,tot_rept_positions_short,traders_asset_mgr_long_all,traders_asset_mgr_short_all,traders_asset_mgr_spread,traders_dealer_long_all,traders_dealer_short_all,traders_dealer_spread_all,traders_lev_money_long_all,traders_lev_money_short_all,traders_lev_money_spread,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_all,traders_tot_rept_long_all,traders_tot_rept_short_all,yyyy_report_week_ww
392846,237033,148445,042,042601,CBT,CHI,F30,964,1018,16947,7562,-12447,-1600,-15363,4201,1587,11244,-6403,4677,-16219,1819,-445,-6567,11080,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,20.2,29.4,32.2,40.9,14.5,24.9,25.6,32.4,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",62449,52430,3540,FutOnly,170103042601F,280849,225523,70344,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,108400,152688,1140716,72114,248984,1729,34.4,20.8,13.0,5.5,4.6,0.3,24.6,19.8,6.2,9.5,13.4,6.3,21.8,0.2,90.5,86.6,100.0,2017-01-03T00:00:00.000,1032316,988028,57,31,43,12,20,7,41,35,24,20,26,7,242,161,162,2017 Report Week 01
1371345,964200,289870,138,13874A,CME,CHI,F20,14082,-4795,884,-44046,48997,15110,52289,-18968,8744,8609,7771,57907,558,-1513,1677,49298,50136,,,S&P BROAD BASED STOCK INDICES,,16.6,23.7,27.0,31.0,14.0,20.6,22.5,27.5,E-MINI S&P 500,($50 X S&P 500 INDEX),256067,435649,30524,FutOnly,17010313874AF,414006,514564,74503,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,245042,303602,2812086,108158,176603,22571,48.8,34.3,10.3,9.1,15.5,1.1,14.7,18.3,2.6,8.7,10.8,3.8,6.3,0.8,91.3,89.2,100.0,2017-01-03T00:00:00.000,2567044,2508484,129,74,85,38,29,17,82,116,63,44,58,14,570,369,380,2017 Report Week 01
1294429,964382,428762,043,043602,CBT,CHI,F30,56865,17159,-411,-2010,48726,8010,14289,-22462,-11860,-4315,-5503,53044,-8324,18585,800,57359,58547,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,39.7,15.6,49.9,23.6,37.0,13.8,45.3,18.8,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",91426,244537,35553,FutOnly,170103043602F,436967,591039,89494,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,304694,508460,3096552,392368,211466,22859,41.8,31.1,13.8,3.0,7.9,1.1,14.1,19.1,2.9,9.8,16.4,12.7,6.8,0.7,90.2,83.6,100.0,2017-01-03T00:00:00.000,2791858,2588092,46,83,72,14,40,11,48,78,44,18,37,15,364,220,286,2017 Report Week 01
410231,233666,159812,042,042601,CBT,CHI,F30,17385,-3367,11367,-7581,47664,2354,30054,5930,-681,-11588,10410,45219,3902,-28465,7,56807,34809,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,20.5,25.6,32.6,36.7,14.4,21.6,26.2,30.2,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",54868,100094,5894,FutOnly,170110042601F,310903,231453,69663,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,96812,163098,1185935,76016,220519,1736,34.6,19.7,13.5,4.6,8.4,0.5,26.2,19.5,5.9,8.2,13.8,6.4,18.6,0.1,91.8,86.2,100.0,2017-01-10T00:00:00.000,1089123,1022837,59,34,44,9,28,9,43,35,25,19,27,8,254,165,175,2017 Report Week 02
1410174,938655,287396,138,13874A,CME,CHI,F20,38829,-25545,-2474,8201,-4210,10399,-21346,70160,-9625,-2221,-30031,19696,745,13834,-2812,21917,49727,,,S&P BROAD BASED STOCK INDICES,,17.2,22.0,27.9,29.1,14.6,19.1,23.5,26.1,E-MINI S&P 500,($50 X S&P 500 INDEX),264268,431439,40923,FutOnly,17011013874AF,392660,584724,64878,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,242821,273571,2831782,108903,190437,19759,49.8,33.1,10.1,9.3,15.2,1.4,13.9,20.6,2.3,8.6,9.7,3.8,6.7,0.7,91.4,90.3,100.0,2017-01-10T00:00:00.000,2588961,2558211,125,75,84,38,31,17,77,124,69,41,66,13,577,368,392,2017 Report Week 02
1345457,1001273,412045,043,043602,CBT,CHI,F30,51028,36891,-16717,11465,-31441,-12201,5493,8067,7120,-27862,18242,7934,-8224,141,-2168,35796,-10308,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,41.3,16.3,50.9,25.6,38.4,14.4,46.9,21.4,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",102891,213096,23352,FutOnly,170110043602F,442460,599106,96614,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,276832,526702,3104486,384144,211607,20691,43.3,32.3,13.3,3.3,6.9,0.8,14.3,19.3,3.1,8.9,17.0,12.4,6.8,0.7,91.1,83.0,100.0,2017-01-10T00:00:00.000,2827654,2577784,52,78,76,21,40,13,45,81,49,18,36,14,371,231,292,2017 Report Week 02
420615,243188,168598,042,042601,CBT,CHI,F30,10384,9522,8786,-1273,474,-100,-6711,52,-6888,5937,-4455,-12874,-23151,-20407,142,-18811,-8419,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,20.8,23.8,33.8,35.5,14.8,20.0,27.4,28.4,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",53595,100568,5794,FutOnly,170117042601F,304192,231505,62775,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,102749,158643,1173061,52865,200112,1878,35.9,20.7,14.4,4.6,8.6,0.5,25.9,19.7,5.4,8.8,13.5,4.5,17.1,0.2,91.2,86.5,100.0,2017-01-17T00:00:00.000,1070312,1014418,59,35,43,10,28,9,38,37,21,17,27,8,251,161,171,2017 Report Week 03
1412352,891138,287766,138,13874A,CME,CHI,F20,2178,-47517,370,2827,-18959,-4500,-32438,41897,-118,7727,14924,-21033,2534,-7517,387,-28760,-35957,,,S&P BROAD BASED STOCK INDICES,,17.3,20.3,28.2,27.2,14.7,17.3,23.9,24.1,E-MINI S&P 500,($50 X S&P 500 INDEX),267095,412480,36423,FutOnly,17011713874AF,360222,626621,64760,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,250548,288495,2810749,111437,182920,20146,50.2,31.7,10.2,9.5,14.7,1.3,12.8,22.3,2.3,8.9,10.3,4.0,6.5,0.7,91.1,89.7,100.0,2017-01-17T00:00:00.000,2560201,2522254,126,77,86,36,31,15,82,119,61,46,65,13,582,369,388,2017 Report Week 03
1300173,1033420,417190,043,043602,CBT,CHI,F30,-45284,32147,5145,4048,-36012,9099,-14206,-16549,-2220,21562,-10231,-8919,9091,5856,3846,-30481,1312,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,40.4,17.1,49.3,26.8,37.2,15.3,45.1,22.6,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",106939,177084,32451,FutOnly,170117043602F,428254,582557,94394,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,298394,516471,3095567,393235,217463,24537,42.0,33.4,13.5,3.5,5.7,1.0,13.8,18.8,3.0,9.6,16.7,12.7,7.0,0.8,90.4,83.3,100.0,2017-01-17T00:00:00.000,2797173,2579096,51,78,76,21,35,13,48,77,49,18,36,14,365,235,282,2017 Report Week 03
420335,311890,174551,042,042601,CBT,CHI,F30,-280,68702,5953,9868,-17022,9624,28465,14437,1280,3599,-2852,79179,20439,-1174,231,75580,82031,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,19.0,25.8,31.5,38.4,14.5,21.5,26.2,30.7,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",63463,83546,15418,FutOnly,170124042601F,332657,245942,64055,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,106348,155791,1252240,73304,198938,2109,33.6,24.9,13.9,5.1,6.7,1.2,26.6,19.6,5.1,8.5,12.4,5.9,15.9,0.2,91.5,87.6,100.0,2017-01-24T00:00:00.000,1145892,1096449,59,36,43,13,24,8,41,37,25,18,28,10,256,171,171,2017 Report Week 04
