asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_asset_mgr_long,change_in_asset_mgr_short,change_in_asset_mgr_spread,change_in_dealer_long_all,change_in_dealer_short_all,change_in_dealer_spread_all,change_in_lev_money_long,change_in_lev_money_short,change_in_lev_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,contract_market_name,contract_units,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,futonly_or_combined,id,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_all,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,pct_of_oi_asset_mgr_long,pct_of_oi_asset_mgr_short,pct_of_oi_asset_mgr_spread,pct_of_oi_dealer_long_all,pct_of_oi_dealer_short_all,pct_of_oi_dealer_spread_all,pct_of_oi_lev_money_long,pct_of_oi_lev_money_short,pct_of_oi_lev_money_spread,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_open_interest_all,report_date_as_yyyy_mm_dd,tot_rept_positions_long_all,tot_rept_positions_short,traders_asset_mgr_long_all,traders_asset_mgr_short_all,traders_asset_mgr_spread,traders_dealer_long_all,traders_dealer_short_all,traders_dealer_spread_all,traders_lev_money_long_all,traders_lev_money_short_all,traders_lev_money_spread,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_all,traders_tot_rept_long_all,traders_tot_rept_short_all,yyyy_report_week_ww
1930683,761433,667745,043,043602,CBT,CHI,F30,-78843,-5700,15171,25868,-2672,-6841,31950,67110,16997,16805,-7146,48617,8989,-46823,18521,31812,55763,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,25.5,21.7,33.7,31.5,20.2,20.1,26.9,28.4,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",152958,388074,51935,FutOnly,190108043602F,437753,1282309,120142,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,435859,425537,4093131,263973,363873,32083,47.2,18.6,16.3,3.7,9.5,1.3,10.7,31.3,2.9,10.6,10.4,6.4,8.9,0.8,89.4,89.6,100.0,2019-01-08T00:00:00.000,3657272,3667594,111,66,103,24,45,12,66,73,42,19,22,11,426,293,301,2019 Report Week 01
1045731,363939,272568,042,042601,CBT,CHI,F30,-85030,71700,-31070,10028,-27560,9881,-55372,-46460,-26957,4270,-122,-181197,-5353,-129015,-1594,-185467,-181075,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,23.0,28.3,32.9,42.3,19.7,26.9,28.1,39.0,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",85402,276457,23847,FutOnly,190108042601F,464733,1213491,51756,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,161094,136490,2571575,443141,209724,23303,40.7,14.2,10.6,3.3,10.8,0.9,18.1,47.2,2.0,6.3,5.3,17.2,8.2,0.9,93.7,94.7,100.0,2019-01-08T00:00:00.000,2410481,2435085,91,34,64,12,37,9,56,61,33,21,27,8,339,234,219,2019 Report Week 01
1933456,752489,661414,043,043602,CBT,CHI,F30,2773,-8944,-6331,965,-7719,7330,-37743,63558,11484,887,-32377,-16216,4470,-43166,-51,-17103,16161,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,25.9,22.2,33.9,32.7,20.2,21.3,27.0,29.7,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",153923,380355,59265,FutOnly,190115043602F,400010,1345867,131626,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,436746,393160,4076915,268443,320707,32032,47.4,18.5,16.2,3.8,9.3,1.5,9.8,33.0,3.2,10.7,9.6,6.6,7.9,0.8,89.3,90.4,100.0,2019-01-15T00:00:00.000,3640169,3683755,116,64,100,24,41,11,63,74,53,19,24,10,425,304,295,2019 Report Week 02
1069076,368996,285813,042,042601,CBT,CHI,F30,23345,5057,13245,9604,-24341,-8779,42068,79555,35634,5979,2740,103887,-16835,1150,-374,97908,101147,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,21.0,29.5,32.3,45.0,19.6,27.4,29.3,41.3,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",95006,252116,15068,FutOnly,190115042601F,506801,1293046,87390,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,167073,139230,2675462,426306,210874,22929,40.0,13.8,10.7,3.6,9.4,0.6,18.9,48.3,3.3,6.2,5.2,15.9,7.9,0.9,93.8,94.8,100.0,2019-01-15T00:00:00.000,2508389,2536232,97,28,63,18,35,9,57,53,30,23,26,8,337,240,207,2019 Report Week 02
1852474,810736,651626,043,043602,CBT,CHI,F30,-80982,58247,-9788,2282,-24870,-6840,33889,-71125,-8026,-6097,24591,-47670,28132,-9619,-240,-41573,-72261,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,25.0,21.3,33.5,32.1,19.7,20.3,26.4,28.9,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",156205,355485,52425,FutOnly,190122043602F,433899,1274742,123600,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,430649,417751,4029245,296575,311088,31792,46.0,20.1,16.2,3.9,8.8,1.3,10.8,31.6,3.1,10.7,10.4,7.4,7.7,0.8,89.3,89.6,100.0,2019-01-22T00:00:00.000,3598596,3611494,112,62,97,28,43,16,72,68,54,21,22,9,428,318,286,2019 Report Week 03
1033715,313997,269385,042,042601,CBT,CHI,F30,-35361,-54999,-16428,4642,-5781,4032,-15136,9706,23143,-6407,-9009,-51171,-9637,-1816,-19,-44764,-42162,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,20.1,29.6,30.8,44.5,19.7,26.7,29.2,40.0,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",99648,246335,19100,FutOnly,190122042601F,491665,1302752,110533,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,160666,130221,2624291,416669,209058,22910,39.4,12.0,10.3,3.8,9.4,0.7,18.7,49.6,4.2,6.1,5.0,15.9,8.0,0.9,93.9,95.0,100.0,2019-01-22T00:00:00.000,2463625,2494070,96,32,65,16,35,11,58,55,30,22,27,8,341,240,215,2019 Report Week 03
1886275,818583,668734,043,043602,CBT,CHI,F30,33801,7847,17108,-23041,-6064,8194,-37567,-12773,23530,5438,-6797,-2553,-27642,-31224,-2374,-7991,4244,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,24.8,22.6,33.7,33.6,19.3,21.3,26.5,30.0,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",133164,349421,60619,FutOnly,190129043602F,396332,1261969,147130,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,436087,410954,4026692,268933,279864,29418,46.8,20.3,16.6,3.3,8.7,1.5,9.8,31.3,3.7,10.8,10.2,6.7,7.0,0.7,89.2,89.8,100.0,2019-01-29T00:00:00.000,3590605,3615738,105,65,98,22,37,14,67,71,56,19,15,7,402,297,280,2019 Report Week 04
1144361,290626,278682,042,042601,CBT,CHI,F30,110646,-23371,9297,-16855,32059,3105,-18168,70510,113425,1077,1792,207389,4219,-71,643,206312,205597,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,19.7,32.1,31.0,45.3,19.4,27.2,28.6,38.4,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",82793,278394,22205,FutOnly,190129042601F,473497,1373262,223958,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,161743,132013,2831680,420888,208987,23553,40.4,10.3,9.8,2.9,9.8,0.8,16.7,48.5,7.9,5.7,4.7,14.9,7.4,0.8,94.3,95.3,100.0,2019-01-29T00:00:00.000,2669937,2699667,100,32,66,12,32,12,57,54,36,23,26,9,336,244,215,2019 Report Week 04
1814427,833868,654139,043,043602,CBT,CHI,F30,-71848,15285,-14595,41900,-48518,-16146,-31496,-33327,55231,12611,-6143,-20961,4750,28620,-1368,-33572,-14818,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,24.1,22.9,32.5,33.8,18.6,21.7,25.6,30.5,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",175064,300903,44473,FutOnly,190205043602F,364836,1228642,202361,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,448698,404811,4005731,273683,308484,28050,45.3,20.8,16.3,4.4,7.5,1.1,9.1,30.7,5.1,11.2,10.1,6.8,7.7,0.7,88.8,89.9,100.0,2019-02-05T00:00:00.000,3557033,3600920,108,65,99,22,38,17,67,72,58,18,19,7,409,297,293,2019 Report Week 05
1249501,281048,272010,042,042601,CBT,CHI,F30,105140,-9578,-6672,57138,-19930,3133,-2107,175876,35993,11363,-6483,216788,9636,41285,3164,205425,223271,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,20.1,34.7,31.7,48.6,19.8,29.7,28.9,41.4,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",139931,258464,25338,FutOnly,190205042601F,471390,1549138,259951,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,173106,125530,3048468,430524,250272,26717,41.0,9.2,8.9,4.6,8.5,0.8,15.5,50.8,8.5,5.7,4.1,14.1,8.2,0.9,94.3,95.9,100.0,2019-02-05T00:00:00.000,2875362,2922938,101,34,71,13,35,11,55,56,34,22,23,8,339,244,219,2019 Report Week 05
1901138,887743,695169,043,043602,CBT,CHI,F30,86711,53875,41030,-6768,14751,28489,-42284,48869,-5505,-5900,-899,111428,24681,-60156,-9026,117328,112327,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,24.3,22.3,32.8,32.9,19.0,20.9,25.5,29.5,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",168296,315654,72962,FutOnly,190212043602F,322552,1277511,196856,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,442798,403912,4117159,298364,248328,19024,46.2,21.6,16.9,4.1,7.7,1.8,7.8,31.0,4.8,10.8,9.8,7.2,6.0,0.5,89.2,90.2,100.0,2019-02-12T00:00:00.000,3674361,3713247,108,71,102,23,40,23,68,75,57,22,16,6,423,310,301,2019 Report Week 06
1333247,299332,282576,042,042601,CBT,CHI,F30,83746,18284,10566,-13747,3629,16330,55373,203425,36223,15261,-9108,208622,6174,-69423,-1304,193361,217730,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,20.1,35.4,32.0,48.2,19.8,29.8,28.9,40.9,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",126184,262093,41668,FutOnly,190212042601F,526763,1752563,296174,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,188367,116422,3257090,436698,180849,25413,40.9,9.2,8.7,3.9,8.0,1.3,16.2,53.8,9.1,5.8,3.6,13.4,5.6,0.8,94.2,96.4,100.0,2019-02-12T00:00:00.000,3068723,3140668,103,34,70,13,35,14,55,58,38,23,21,8,342,252,220,2019 Report Week 06
1978653,871863,687446,043,043602,CBT,CHI,F30,77515,-15880,-7723,102,24521,10189,142,53920,58669,8101,23476,134075,-13389,-13566,469,125974,110599,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,23.4,23.0,31.9,33.3,18.4,20.6,25.2,29.2,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",168398,340175,83151,FutOnly,190219043602F,322694,1331431,255525,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,450899,427388,4251234,284975,234762,19493,46.5,20.5,16.2,4.0,8.0,2.0,7.6,31.3,6.0,10.6,10.1,6.7,5.5,0.5,89.4,89.9,100.0,2019-02-19T00:00:00.000,3800335,3823846,108,70,102,20,40,22,65,76,58,23,15,7,417,304,302,2019 Report Week 07
1325614,312516,291381,042,042601,CBT,CHI,F30,-7633,13184,8805,10253,-22211,-2889,-22957,-24655,11461,8297,24815,-2928,-538,-3711,-7727,-11225,-27743,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,20.6,35.0,32.7,47.6,19.7,28.6,28.9,40.1,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",136437,239882,38779,FutOnly,190219042601F,503806,1727908,307635,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,196664,141237,3254162,436160,177138,17686,40.7,9.6,9.0,4.2,7.4,1.2,15.5,53.1,9.5,6.0,4.3,13.4,5.4,0.5,94.0,95.7,100.0,2019-02-19T00:00:00.000,3057498,3112925,103,32,70,16,30,17,55,54,33,21,20,8,331,250,209,2019 Report Week 07
