asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_asset_mgr_long,change_in_asset_mgr_short,change_in_asset_mgr_spread,change_in_dealer_long_all,change_in_dealer_short_all,change_in_dealer_spread_all,change_in_lev_money_long,change_in_lev_money_short,change_in_lev_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,contract_market_name,contract_units,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,futonly_or_combined,id,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_all,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,pct_of_oi_asset_mgr_long,pct_of_oi_asset_mgr_short,pct_of_oi_asset_mgr_spread,pct_of_oi_dealer_long_all,pct_of_oi_dealer_short_all,pct_of_oi_dealer_spread_all,pct_of_oi_lev_money_long,pct_of_oi_lev_money_short,pct_of_oi_lev_money_spread,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_open_interest_all,report_date_as_yyyy_mm_dd,tot_rept_positions_long_all,tot_rept_positions_short,traders_asset_mgr_long_all,traders_asset_mgr_short_all,traders_asset_mgr_spread,traders_dealer_long_all,traders_dealer_short_all,traders_dealer_spread_all,traders_lev_money_long_all,traders_lev_money_short_all,traders_lev_money_spread,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_all,traders_tot_rept_long_all,traders_tot_rept_short_all,yyyy_report_week_ww
1158900,164602,101476,138 ,13874+,CME ,CHI,F20,-619,-8952,885,-7009,-16549,5202,-2075,13004,10543,-9697,9519,12831,10086,-6335,5514,22528,3312,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,10.5,28.8,18.4,39.4,10.1,28.2,17.6,38.8,S&P 500 Consolidated,(S&P 500 INDEX X $50.00),140308,941253,37817,FutOnly,25010713874+F,149925,490740,43874,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,282742,164383,2081903,157623,128522,9237,55.7,7.9,4.9,6.7,45.2,1.8,7.2,23.6,2.1,13.6,7.9,7.6,6.2,0.4,86.4,92.1,100.0,2025-01-07T00:00:00.000,1799161,1917520,161,40,86,25,37,20,64,71,52,21,17,4,437,333,266,2025 Report Week 01
2493589,827347,557152,043 ,043602,CBT ,CHI,F30,47304,17500,780,-19319,41938,-5814,106910,44190,-13755,5392,13721,129077,10423,33361,-2844,123685,115356,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,23.4,20.3,34.0,29.7,20.8,20.3,30.6,29.2,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",162313,610773,19601,FutOnly,250107043602F,425270,1865453,67782,UST 10Y NOTE - CHICAGO BOARD OF TRADE,441693,370376,4642754,470711,319627,4643,53.7,17.8,12.0,3.5,13.2,0.4,9.2,40.2,1.5,9.5,8.0,10.1,6.9,0.1,90.5,92.0,100.0,2025-01-07T00:00:00.000,4201061,4272378,116,54,97,24,38,12,48,73,41,24,19,6,396,289,263,2025 Report Week 01
2376862,357979,355998,042 ,042601,CBT ,CHI,F30,-70841,9037,7931,3099,34472,3053,1001,-79431,16607,4583,-383,-13565,20882,-4971,120,-18148,-13182,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,18.8,31.3,27.3,45.6,16.8,31.3,22.7,43.9,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",149374,386318,12264,FutOnly,250107042601F,385573,2613245,259230,UST 2Y NOTE - CHICAGO BOARD OF TRADE,254961,112745,4275373,463836,160319,17275,55.6,8.4,8.3,3.5,9.0,0.3,9.0,61.1,6.1,6.0,2.6,10.8,3.7,0.4,94.0,97.4,100.0,2025-01-07T00:00:00.000,4020412,4162628,166,36,86,41,27,9,62,60,44,55,15,7,462,370,238,2025 Report Week 01
2497529,863638,573565,043 ,043602,CBT ,CHI,F30,3940,36291,16413,-24783,23801,12,68466,-104106,6809,-1612,10081,64472,-4557,75387,-216,66084,54391,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,23.7,20.9,34.4,30.0,21.1,20.8,31.2,29.0,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",137530,634574,19613,FutOnly,250114043602F,493736,1761347,74591,UST 10Y NOTE - CHICAGO BOARD OF TRADE,440081,380457,4707226,466154,395014,4427,53.1,18.3,12.2,2.9,13.5,0.4,10.5,37.4,1.6,9.3,8.1,9.9,8.4,0.1,90.7,91.9,100.0,2025-01-14T00:00:00.000,4267145,4326769,115,56,97,20,38,13,56,71,50,23,20,8,399,297,270,2025 Report Week 02
2419742,310544,370888,042 ,042601,CBT ,CHI,F30,42880,-47435,14890,-26888,5332,3974,28001,46271,-30569,-2254,27212,27338,-7940,2419,5244,29592,126,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,19.5,31.0,27.5,45.3,17.2,31.0,23.9,43.5,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",122486,391650,16238,FutOnly,250114042601F,413574,2659516,228661,UST 2Y NOTE - CHICAGO BOARD OF TRADE,252707,139957,4302711,455896,162738,22519,56.2,7.2,8.6,2.8,9.1,0.4,9.6,61.8,5.3,5.9,3.3,10.6,3.8,0.5,94.1,96.7,100.0,2025-01-14T00:00:00.000,4050004,4162754,166,35,84,36,27,10,59,60,44,52,16,7,451,360,236,2025 Report Week 02
1116343,187836,112410,138 ,13874+,CME ,CHI,F20,-42557,23234,10934,-2604,-13285,2884,901,-39169,10194,-6674,-4048,-24873,5538,-12128,-3489,-18199,-20825,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,10.7,28.2,19.0,39.3,10.4,27.5,18.2,38.4,S&P 500 Consolidated,(S&P 500 INDEX X $50.00),137705,927968,40701,FutOnly,25011413874+F,150826,451571,54068,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,276068,160335,2057030,163161,116393,5749,54.3,9.1,5.5,6.7,45.1,2.0,7.3,22.0,2.6,13.4,7.8,7.9,5.7,0.3,86.6,92.2,100.0,2025-01-14T00:00:00.000,1780962,1896695,159,42,87,22,39,24,67,73,52,23,17,5,443,336,275,2025 Report Week 02
2317912,327759,418398,042 ,042601,CBT ,CHI,F30,-101830,17215,47510,21925,-13388,-2652,-18643,-143796,-41324,7457,-19267,-147059,-61999,6146,2497,-154516,-127792,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,18.1,30.1,26.7,44.9,14.9,30.0,22.2,43.8,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",144411,378262,13586,FutOnly,250121042601F,394931,2515720,187337,UST 2Y NOTE - CHICAGO BOARD OF TRADE,260164,120690,4155652,393897,168884,25016,55.8,7.9,10.1,3.5,9.1,0.3,9.5,60.5,4.5,6.3,2.9,9.5,4.1,0.6,93.7,97.1,100.0,2025-01-21T00:00:00.000,3895488,4034962,171,32,83,35,27,10,61,55,47,46,20,8,447,356,239,2025 Report Week 03
2530971,860714,580079,043 ,043602,CBT ,CHI,F30,33442,-2924,6514,30790,-30950,12324,-43758,40661,27070,-17125,27294,43199,-6302,-37034,244,60324,15905,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,23.8,22.1,34.4,31.3,21.1,22.0,31.1,30.5,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",168320,603624,31937,FutOnly,250121043602F,449978,1802008,101661,UST 10Y NOTE - CHICAGO BOARD OF TRADE,422956,407751,4750425,459852,357980,4671,53.3,18.1,12.2,3.5,12.7,0.7,9.5,37.9,2.1,8.9,8.6,9.7,7.5,0.1,91.1,91.4,100.0,2025-01-21T00:00:00.000,4327469,4342674,117,58,97,26,36,13,46,77,49,22,20,7,403,290,279,2025 Report Week 03
1115968,180614,108602,138 ,13874+,CME ,CHI,F20,-375,-7221,-3808,11253,-16733,-14067,-14551,75119,-21032,10264,-9896,-8443,23105,-11571,767,-18707,1454,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,11.1,27.3,19.5,37.8,10.9,26.9,18.7,37.3,S&P 500 Consolidated,(S&P 500 INDEX X $50.00),148958,911235,26634,FutOnly,25012113874+F,136276,526690,33036,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,286332,150439,2048587,186266,104822,6515,54.5,8.8,5.3,7.3,44.5,1.3,6.7,25.7,1.6,14.0,7.3,9.1,5.1,0.3,86.0,92.7,100.0,2025-01-21T00:00:00.000,1762255,1898148,160,42,90,24,36,23,61,71,56,23,13,4,431,336,268,2025 Report Week 03
2571859,836958,585943,043 ,043602,CBT ,CHI,F30,40888,-23756,5864,26082,-13023,7908,22099,230816,-6764,3386,-41677,133485,18659,-41246,15363,130099,175162,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,23.6,22.0,34.3,31.8,21.2,21.7,31.1,30.9,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",194402,590601,39845,FutOnly,250128043602F,472077,2032824,94897,UST 10Y NOTE - CHICAGO BOARD OF TRADE,426342,366074,4883910,478511,316734,20034,52.7,17.1,12.0,4.0,12.1,0.8,9.7,41.6,1.9,8.7,7.5,9.8,6.5,0.4,91.3,92.5,100.0,2025-01-28T00:00:00.000,4457568,4517836,114,58,99,23,39,18,55,73,52,24,18,7,404,298,282,2025 Report Week 04
