asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_asset_mgr_long,change_in_asset_mgr_short,change_in_asset_mgr_spread,change_in_dealer_long_all,change_in_dealer_short_all,change_in_dealer_spread_all,change_in_lev_money_long,change_in_lev_money_short,change_in_lev_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,contract_market_name,contract_units,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,futonly_or_combined,id,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_all,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,pct_of_oi_asset_mgr_long,pct_of_oi_asset_mgr_short,pct_of_oi_asset_mgr_spread,pct_of_oi_dealer_long_all,pct_of_oi_dealer_short_all,pct_of_oi_dealer_spread_all,pct_of_oi_lev_money_long,pct_of_oi_lev_money_short,pct_of_oi_lev_money_spread,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_open_interest_all,report_date_as_yyyy_mm_dd,tot_rept_positions_long_all,tot_rept_positions_short,traders_asset_mgr_long_all,traders_asset_mgr_short_all,traders_asset_mgr_spread,traders_dealer_long_all,traders_dealer_short_all,traders_dealer_spread_all,traders_lev_money_long_all,traders_lev_money_short_all,traders_lev_money_spread,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_all,traders_tot_rept_long_all,traders_tot_rept_short_all,yyyy_report_week_ww
676257,670610,392906,042,042601,CBT,CHI,F30,35093,11308,-12064,5321,-24116,5900,-30220,5744,-23831,-2445,4362,-18692,4137,14588,-583,-16247,-23054,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,15.7,23.7,25.6,31.4,13.1,16.4,20.7,23.2,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",56686,160245,18572,FutOnly,220104042601F,538073,163692,90446,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,120511,189357,1947598,45272,252895,8875,34.7,34.4,20.2,2.9,8.2,1.0,27.6,8.4,4.6,6.2,9.7,2.3,13.0,0.5,93.8,90.3,100.0,2022-01-04T00:00:00.000,1827087,1758241,81,79,83,18,34,7,49,43,28,10,29,4,343,210,255,2022 Report Week 01
222930,76593,53602,138,13874+,CME,CHI,F20,-343,539,-1459,-2219,-2062,1975,2277,2599,248,1804,36,1888,-425,-17,29,83,1852,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,13.9,24.0,21.7,32.3,12.2,23.4,19.7,30.5,S&P 500 Consolidated,(S&P 500 INDEX X $250.00),30525,121599,8417,FutOnly,22010413874+F,53291,73066,6811,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,53737,45072,459458,29569,73723,575,48.5,16.7,11.7,6.6,26.5,1.8,11.6,15.9,1.5,11.7,9.8,6.4,16.0,0.1,88.3,90.2,100.0,2022-01-04T00:00:00.000,405721,414386,159,66,99,26,33,16,67,80,45,38,24,,493,344,312,2022 Report Week 01
1592716,1361005,797583,043,043602,CBT,CHI,F30,-1048,-18446,35387,-9478,-17104,-1854,54193,18728,-1331,18034,12017,28711,-65063,1443,-129,10677,16694,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,23.3,21.2,32.9,27.8,15.5,14.1,24.6,19.0,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",195429,135355,26944,FutOnly,220104043602F,679051,604408,114639,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,309950,549102,3875093,138439,265715,20342,41.1,35.1,20.6,5.0,3.5,0.7,17.5,15.6,3.0,8.0,14.2,3.6,6.9,0.5,92.0,85.8,100.0,2022-01-04T00:00:00.000,3565143,3325991,85,109,105,22,29,11,42,88,42,19,22,4,417,267,312,2022 Report Week 01
223622,77778,53543,138,13874+,CME,CHI,F20,692,1184,-59,670,7316,-1510,-2476,-10697,-392,2325,-300,-2724,-2383,1326,408,-5049,-2424,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,14.3,24.1,22.6,33.2,12.5,23.5,20.5,31.3,S&P 500 Consolidated,(S&P 500 INDEX X $250.00),31195,128914,6906,FutOnly,22011113874+F,50815,62368,6419,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,56063,44773,456734,27187,75049,984,49.0,17.0,11.7,6.8,28.2,1.5,11.1,13.7,1.4,12.3,9.8,6.0,16.4,0.2,87.7,90.2,100.0,2022-01-11T00:00:00.000,400672,411962,157,74,100,31,30,15,63,79,51,34,29,5,497,346,322,2022 Report Week 02
1608440,1360916,792673,043,043602,CBT,CHI,F30,15724,-89,-4910,-20437,1370,-2047,36436,-27490,-52879,5615,25242,-65930,-40912,-2607,-2520,-71545,-91172,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,23.5,21.4,33.9,28.5,15.7,14.2,25.5,19.2,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",174992,136725,24897,FutOnly,220111043602F,715487,576918,61760,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,315565,574344,3809163,97527,263108,17822,42.2,35.7,20.8,4.6,3.6,0.7,18.8,15.1,1.6,8.3,15.1,2.6,6.9,0.5,91.7,84.9,100.0,2022-01-11T00:00:00.000,3493598,3234819,84,108,99,24,26,15,42,86,50,18,24,5,412,268,313,2022 Report Week 02
732298,661120,392316,042,042601,CBT,CHI,F30,56041,-9490,-590,-7068,10677,-5884,-7810,35871,23379,4783,3899,69418,349,5338,6218,64635,65519,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,17.1,23.9,26.9,32.5,14.2,16.3,21.4,23.0,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",49618,170922,12688,FutOnly,220111042601F,530263,199563,113825,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,125294,193256,2017016,45621,258233,15093,36.3,32.8,19.5,2.5,8.5,0.6,26.3,9.9,5.6,6.2,9.6,2.3,12.8,0.7,93.8,90.4,100.0,2022-01-11T00:00:00.000,1891722,1823760,80,74,81,14,34,7,46,56,31,11,32,5,347,207,264,2022 Report Week 02
769566,661191,420758,042,042601,CBT,CHI,F30,37268,71,28442,13663,13351,572,5830,19017,286,-1423,-3961,90833,7736,34596,-1541,92256,94794,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,19.6,22.7,29.0,32.3,16.5,16.0,23.2,22.7,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",63281,184273,13260,FutOnly,220118042601F,536093,218580,114111,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,123871,189295,2107849,53357,292829,13552,36.5,31.4,20.0,3.0,8.7,0.6,25.4,10.4,5.4,5.9,9.0,2.5,13.9,0.6,94.1,91.0,100.0,2022-01-18T00:00:00.000,1983978,1918554,76,77,81,15,40,9,52,54,29,15,34,4,363,213,273,2022 Report Week 03
220420,75716,54259,138,13874+,CME,CHI,F20,-3202,-2062,716,-3316,8804,1456,3713,-5242,1991,2349,984,5262,1626,-1314,-71,2913,4278,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,14.9,25.1,22.4,34.2,13.0,24.0,20.3,32.2,S&P 500 Consolidated,(S&P 500 INDEX X $250.00),27879,137718,8363,FutOnly,22011813874+F,54528,57126,8410,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,58411,45756,461996,28812,73735,913,47.7,16.4,11.7,6.0,29.8,1.8,11.8,12.4,1.8,12.6,9.9,6.2,16.0,0.2,87.4,90.1,100.0,2022-01-18T00:00:00.000,403585,416240,156,77,98,28,33,15,68,80,48,37,25,6,504,352,319,2022 Report Week 03
1646386,1413808,810602,043,043602,CBT,CHI,F30,37946,52892,17929,-35746,22969,5827,46663,-47588,5915,-8175,268,80874,7857,20004,2658,89049,80606,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,23.8,20.9,34.6,27.7,16.0,13.5,25.8,18.4,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",139246,159694,30724,FutOnly,220118043602F,762150,529330,67675,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,307390,574612,3890037,105384,283112,20480,42.3,36.3,20.8,3.6,4.1,0.8,19.6,13.6,1.7,7.9,14.8,2.7,7.3,0.5,92.1,85.2,100.0,2022-01-18T00:00:00.000,3582647,3315425,83,110,101,25,28,13,49,80,47,19,24,7,418,270,316,2022 Report Week 03
1598943,1384894,792624,043,043602,CBT,CHI,F30,-47443,-28914,-17978,-55563,13060,-7229,-8768,-82324,8554,5028,-26219,-139473,-13773,3878,-2301,-144501,-113254,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,25.0,22.1,35.3,28.4,17.1,14.6,26.2,19.6,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",83683,172754,23495,FutOnly,220125043602F,753382,447006,76229,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,312418,548393,3750564,91611,286990,18179,42.6,36.9,21.1,2.2,4.6,0.6,20.1,11.9,2.0,8.3,14.6,2.4,7.7,0.5,91.7,85.4,100.0,2022-01-25T00:00:00.000,3438146,3202171,81,110,99,15,38,16,51,76,56,15,24,5,410,264,322,2022 Report Week 04
