asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_asset_mgr_long,change_in_asset_mgr_short,change_in_asset_mgr_spread,change_in_dealer_long_all,change_in_dealer_short_all,change_in_dealer_spread_all,change_in_lev_money_long,change_in_lev_money_short,change_in_lev_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,contract_market_name,contract_units,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,futonly_or_combined,id,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_all,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,pct_of_oi_asset_mgr_long,pct_of_oi_asset_mgr_short,pct_of_oi_asset_mgr_spread,pct_of_oi_dealer_long_all,pct_of_oi_dealer_short_all,pct_of_oi_dealer_spread_all,pct_of_oi_lev_money_long,pct_of_oi_lev_money_short,pct_of_oi_lev_money_spread,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_open_interest_all,report_date_as_yyyy_mm_dd,tot_rept_positions_long_all,tot_rept_positions_short,traders_asset_mgr_long_all,traders_asset_mgr_short_all,traders_asset_mgr_spread,traders_dealer_long_all,traders_dealer_short_all,traders_dealer_spread_all,traders_lev_money_long_all,traders_lev_money_short_all,traders_lev_money_spread,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_all,traders_tot_rept_long_all,traders_tot_rept_short_all,yyyy_report_week_ww
1278133,386624,283787,042 ,042601,CBT ,CHI,F30,-23426,33823,-10990,-1300,2496,8998,-12130,-72086,5144,7648,18233,-15038,11509,-165,-491,-22686,-33271,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,20.8,22.3,31.3,32.4,19.2,20.9,26.7,29.2,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",32897,222102,23280,FutOnly,230103042601F,148970,886868,91111,UST 2Y NOTE - CHICAGO BOARD OF TRADE,192701,196131,2219812,168861,129837,72,57.6,17.4,12.8,1.5,10.0,1.0,6.7,40.0,4.1,8.7,8.8,7.6,5.8,0.0,91.3,91.2,100.0,2023-01-03T00:00:00.000,2027111,2023681,108,57,87,12,38,10,37,62,25,21,21,,356,229,252,2023 Report Week 01
2035078,874882,767195,043 ,043602,CBT ,CHI,F30,35867,-7628,6871,16151,46019,-3470,4199,18942,7214,4955,19746,70177,1534,-14373,-3144,65222,50431,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,24.0,20.1,35.1,29.2,19.3,16.8,27.5,22.7,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",109868,298822,36110,FutOnly,230103043602F,208101,1028715,109623,UST 10Y NOTE - CHICAGO BOARD OF TRADE,343068,426909,3851091,211223,278010,30825,52.8,22.7,19.9,2.9,7.8,0.9,5.4,26.7,2.8,8.9,11.1,5.5,7.2,0.8,91.1,88.9,100.0,2023-01-03T00:00:00.000,3508023,3424182,112,78,104,21,28,11,35,71,37,18,22,4,386,263,279,2023 Report Week 01
188847,101555,49946,138 ,13874+,CME ,CHI,F20,-2087,-123,1117,4647,-3417,234,2502,8390,-1632,1595,505,9937,3263,4566,297,8342,9433,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,15.7,11.4,22.2,19.1,13.7,10.8,19.9,17.7,S&P 500 Consolidated,(S&P 500 INDEX X $250.00),43168,66255,8351,FutOnly,23010313874+F,31086,86329,7449,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,46571,46421,402199,25289,34402,1491,47.0,25.2,12.4,10.7,16.5,2.1,7.7,21.5,1.9,11.6,11.5,6.3,8.6,0.4,88.4,88.5,100.0,2023-01-03T00:00:00.000,355629,355778,142,107,114,32,30,21,57,102,50,32,27,7,530,361,361,2023 Report Week 01
1984760,887938,809537,043 ,043602,CBT ,CHI,F30,-50318,13056,42342,27316,-19327,-4279,97601,10668,870,7562,817,43847,-76920,27,-327,36285,43030,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,23.6,20.9,35.7,30.0,18.4,17.2,27.3,23.0,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",137184,279495,31831,FutOnly,230110043602F,305702,1039383,110493,UST 10Y NOTE - CHICAGO BOARD OF TRADE,350630,427726,3894938,134303,278037,30498,51.0,22.8,20.8,3.5,7.2,0.8,7.8,26.7,2.8,9.0,11.0,3.4,7.1,0.8,91.0,89.0,100.0,2023-01-10T00:00:00.000,3544308,3467212,112,77,101,21,23,10,37,72,39,20,23,5,386,263,278,2023 Report Week 02
1235360,424907,321670,042 ,042601,CBT ,CHI,F30,-42773,38283,37883,6245,63841,-6946,161866,11912,-47355,6391,-618,100085,-15242,3069,16,93694,100703,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,22.1,21.5,32.8,31.6,20.4,20.6,29.0,29.5,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",39142,285943,16334,FutOnly,230110042601F,310836,898780,43756,UST 2Y NOTE - CHICAGO BOARD OF TRADE,199092,195513,2319897,153619,132906,88,53.3,18.3,13.9,1.7,12.3,0.7,13.4,38.7,1.9,8.6,8.4,6.6,5.7,0.0,91.4,91.6,100.0,2023-01-10T00:00:00.000,2120805,2124384,110,57,85,14,38,10,42,58,25,23,20,,362,233,252,2023 Report Week 02
189722,97104,48652,138 ,13874+,CME ,CHI,F20,875,-4451,-1295,5252,4988,83,-1031,6791,600,819,-1080,4314,-937,-1270,-53,3495,5394,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,16.0,13.8,23.1,22.4,14.2,13.0,21.1,21.2,S&P 500 Consolidated,(S&P 500 INDEX X $250.00),48420,71242,8434,FutOnly,23011013874+F,30055,93120,8050,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,47389,45341,406513,24353,33132,1438,46.7,23.9,12.0,11.9,17.5,2.1,7.4,22.9,2.0,11.7,11.2,6.0,8.2,0.4,88.3,88.8,100.0,2023-01-10T00:00:00.000,359124,361172,141,108,112,27,34,22,61,100,51,32,25,4,528,361,356,2023 Report Week 02
1238277,448688,321767,042 ,042601,CBT ,CHI,F30,2917,23781,97,13682,598,1649,15333,-11200,447,4946,-2104,16070,-23001,2802,0,11124,18174,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,24.2,20.0,34.2,31.0,22.6,19.6,29.2,28.9,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",52824,286541,17983,FutOnly,230117042601F,326169,887580,44203,UST 2Y NOTE - CHICAGO BOARD OF TRADE,204038,193409,2335967,130618,135708,88,53.0,19.2,13.8,2.3,12.3,0.8,14.0,38.0,1.9,8.7,8.3,5.6,5.8,0.0,91.3,91.7,100.0,2023-01-17T00:00:00.000,2131929,2142558,116,57,92,16,37,11,44,58,27,23,19,,370,250,253,2023 Report Week 03
194790,88935,48499,138 ,13874+,CME ,CHI,F20,5067,-8169,-153,4551,3595,-50,-1919,12264,-384,-416,2501,4781,-1992,-4900,76,5197,2280,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,16.6,14.5,23.6,23.0,14.9,13.8,21.9,22.0,S&P 500 Consolidated,(S&P 500 INDEX X $250.00),52971,74837,8384,FutOnly,23011713874+F,28136,105385,7666,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,46973,47842,411294,22361,28232,1514,47.4,21.6,11.8,12.9,18.2,2.0,6.8,25.6,1.9,11.4,11.6,5.4,6.9,0.4,88.6,88.4,100.0,2023-01-17T00:00:00.000,364321,363452,150,100,109,29,35,24,61,97,51,35,27,7,534,373,352,2023 Report Week 03
2126402,865395,808019,043 ,043602,CBT ,CHI,F30,141642,-22543,-1518,-11970,13997,3802,-28122,127695,10689,9641,3343,123169,2769,-8532,-3764,113528,119826,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,22.9,21.2,36.4,30.0,19.0,18.2,28.3,23.7,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",125214,293492,35633,FutOnly,230117043602F,277580,1167078,121182,UST 10Y NOTE - CHICAGO BOARD OF TRADE,360271,431069,4018107,137072,269505,26734,52.9,21.5,20.1,3.1,7.3,0.9,6.9,29.0,3.0,9.0,10.7,3.4,6.7,0.7,91.0,89.3,100.0,2023-01-17T00:00:00.000,3657836,3587038,118,77,107,23,24,9,37,75,41,20,23,5,398,275,285,2023 Report Week 03
191482,85232,48472,138 ,13874+,CME ,CHI,F20,-3307,-3703,-28,-5065,-2343,1236,95,-2119,681,1851,-263,-6407,-1786,216,-85,-8258,-6144,S&P BROAD BASED STOCK INDICES,FINANCIAL INSTRUMENTS,S&P BROAD BASED STOCK INDICES,STOCK INDICES,15.8,15.9,22.4,24.3,14.1,15.1,20.4,22.8,S&P 500 Consolidated,(S&P 500 INDEX X $250.00),47906,72494,9621,FutOnly,23012413874+F,28231,103266,8347,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,48824,47579,404887,20575,28448,1429,47.3,21.1,12.0,11.8,17.9,2.4,7.0,25.5,2.1,12.1,11.8,5.1,7.0,0.4,87.9,88.2,100.0,2023-01-24T00:00:00.000,356063,357308,145,103,113,28,35,26,64,98,57,32,28,8,533,373,364,2023 Report Week 04
